date,time,province,confirmed,released,deceased
2020-01-20,16,Seoul,0,0,0
2020-01-20,16,Busan,0,0,0
2020-01-20,16,Daegu,0,0,0
2020-01-20,16,Incheon,1,0,0
2020-01-20,16,Gwangju,0,0,0
2020-01-20,16,Daejeon,0,0,0
2020-01-20,16,Ulsan,0,0,0
2020-01-20,16,Sejong,0,0,0
2020-01-20,16,Gyeonggi-do,0,0,0
2020-01-20,16,Gangwon-do,0,0,0
2020-01-20,16,Chungcheongbuk-do,0,0,0
2020-01-20,16,Chungcheongnam-do,0,0,0
2020-01-20,16,Jeollabuk-do,0,0,0
2020-01-20,16,Jeollanam-do,0,0,0
2020-01-20,16,Gyeongsangbuk-do,0,0,0
2020-01-20,16,Gyeongsangnam-do,0,0,0
2020-01-20,16,Jeju-do,0,0,0
2020-01-21,16,Seoul,0,0,0
2020-01-21,16,Busan,0,0,0
2020-01-21,16,Daegu,0,0,0
2020-01-21,16,Incheon,1,0,0
2020-01-21,16,Gwangju,0,0,0
2020-01-21,16,Daejeon,0,0,0
2020-01-21,16,Ulsan,0,0,0
2020-01-21,16,Sejong,0,0,0
2020-01-21,16,Gyeonggi-do,0,0,0
2020-01-21,16,Gangwon-do,0,0,0
2020-01-21,16,Chungcheongbuk-do,0,0,0
2020-01-21,16,Chungcheongnam-do,0,0,0
2020-01-21,16,Jeollabuk-do,0,0,0
2020-01-21,16,Jeollanam-do,0,0,0
2020-01-21,16,Gyeongsangbuk-do,0,0,0
2020-01-21,16,Gyeongsangnam-do,0,0,0
2020-01-21,16,Jeju-do,0,0,0
2020-01-22,16,Seoul,0,0,0
2020-01-22,16,Busan,0,0,0
2020-01-22,16,Daegu,0,0,0
2020-01-22,16,Incheon,1,0,0
2020-01-22,16,Gwangju,0,0,0
2020-01-22,16,Daejeon,0,0,0
2020-01-22,16,Ulsan,0,0,0
2020-01-22,16,Sejong,0,0,0
2020-01-22,16,Gyeonggi-do,0,0,0
2020-01-22,16,Gangwon-do,0,0,0
2020-01-22,16,Chungcheongbuk-do,0,0,0
2020-01-22,16,Chungcheongnam-do,0,0,0
2020-01-22,16,Jeollabuk-do,0,0,0
2020-01-22,16,Jeollanam-do,0,0,0
2020-01-22,16,Gyeongsangbuk-do,0,0,0
2020-01-22,16,Gyeongsangnam-do,0,0,0
2020-01-22,16,Jeju-do,0,0,0
2020-01-23,16,Seoul,0,0,0
2020-01-23,16,Busan,0,0,0
2020-01-23,16,Daegu,0,0,0
2020-01-23,16,Incheon,1,0,0
2020-01-23,16,Gwangju,0,0,0
2020-01-23,16,Daejeon,0,0,0
2020-01-23,16,Ulsan,0,0,0
