E01002612,Hounslow,Violence Against the Person,Common Assault,2,2014,4
E01003047,Lambeth,Theft and Handling,Other Theft,6,2009,8
E01003345,Lewisham,Criminal Damage,Other Criminal Damage,1,2011,7
E01004395,Waltham Forest,Violence Against the Person,Common Assault,0,2014,12
E01000615,Brent,Theft and Handling,Theft From Motor Vehicle,0,2008,4
E01001919,Hammersmith and Fulham,Theft and Handling,Handling Stolen Goods,0,2012,1
E01033325,Lewisham,Violence Against the Person,Other violence,0,2009,9
E01032766,Tower Hamlets,Burglary,Burglary in a Dwelling,0,2012,4
E01004051,Southwark,Burglary,Burglary in a Dwelling,3,2009,11
E01004482,Wandsworth,Robbery,Personal Property,0,2009,5
E01003265,Lewisham,Violence Against the Person,Wounding/GBH,1,2015,8
E01000260,Barnet,Criminal Damage,Criminal Damage To Motor Vehicle,2,2011,2
E01004474,Wandsworth,Burglary,Burglary in Other Buildings,3,2015,8
E01001115,Croydon,Criminal Damage,Criminal Damage To Dwelling,0,2014,7
E01004170,Sutton,Theft and Handling,Handling Stolen Goods,0,2009,11
E01002396,Hillingdon,Theft and Handling,Handling Stolen Goods,0,2011,2
E01000355,Bexley,Theft and Handling,Handling Stolen Goods,0,2011,1
E01003101,Lambeth,Theft and Handling,Theft From Motor Vehicle,0,2013,3
E01000626,Brent,Other Notifiable Offences,Other Notifiable,0,2012,9
E01002197,Harrow,Criminal Damage,Criminal Damage To Other Building,0,2013,3
E01002230,Harrow,Drugs,Possession Of Drugs,0,2014,3
E01002939,Kingston upon Thames,Theft and Handling,Handling Stolen Goods,0,2016,7
E01001576,Greenwich,Criminal Damage,Criminal Damage To Dwelling,2,2011,11
E01001648,Greenwich,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,9
E01003790,Redbridge,Criminal Damage,Other Criminal Damage,1,2008,9
E01001277,Ealing,Theft and Handling,Theft From Motor Vehicle,2,2008,9
E01004024,Southwark,Theft and Handling,Other Theft,1,2010,12
E01001383,Ealing,Theft and Handling,Other Theft Person,0,2015,5
E01000697,Bromley,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,2
E01001575,Greenwich,Violence Against the Person,Other violence,0,2012,7
E01001496,Enfield,Robbery,Business Property,0,2009,1
E01002349,Havering,Theft and Handling,Other Theft,0,2014,2
E01002274,Havering,Theft and Handling,Other Theft Person,0,2016,9
E01003446,Merton,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2011,1
E01004693,Westminster,Violence Against the Person,Offensive Weapon,0,2009,11
E01002068,Haringey,Fraud or Forgery,Counted per Victim,0,2013,6
E01002485,Hillingdon,Violence Against the Person,Other violence,0,2016,12
E01001828,Hackney,Criminal Damage,Other Criminal Damage,1,2012,6
E01002449,Hillingdon,Criminal Damage,Criminal Damage To Dwelling,0,2008,6
E01032623,Sutton,Theft and Handling,Other Theft Person,0,2016,8
E01002935,Kingston upon Thames,Criminal Damage,Criminal Damage To Motor Vehicle,1,2015,10
E01002639,Hounslow,Burglary,Burglary in a Dwelling,2,2016,10
E01000876,Camden,Criminal Damage,Other Criminal Damage,0,2008,8
E01003099,Lambeth,Theft and Handling,Theft From Shops,0,2012,9
E01002855,Kensington and Chelsea,Theft and Handling,Other Theft Person,0,2016,2
E01000884,Camden,Burglary,Burglary in Other Buildings,1,2013,3
E01003694,Redbridge,Theft and Handling,Other Theft,2,2012,11
E01001508,Enfield,Drugs,Other Drugs,0,2012,7
E01000584,Brent,Criminal Damage,Other Criminal Damage,0,2016,9
E01000470,Bexley,Violence Against the Person,Wounding/GBH,0,2009,1
E01003608,Newham,Violence Against the Person,Common Assault,0,2009,6
E01002605,Hounslow,Sexual Offences,Other Sexual,0,2011,11
E01002077,Haringey,Drugs,Other Drugs,0,2015,2
E01001562,Enfield,Criminal Damage,Criminal Damage To Dwelling,2,2011,2
E01000666,Bromley,Criminal Damage,Criminal Damage To Dwelling,2,2014,6
E01002345,Havering,Drugs,Other Drugs,0,2016,8
E01003373,Merton,Theft and Handling,Theft From Shops,0,2008,12
E01004749,Westminster,Robbery,Personal Property,0,2014,8
E01000651,Bromley,Burglary,Burglary in a Dwelling,0,2008,1
E01004473,Wandsworth,Theft and Handling,Theft From Motor Vehicle,3,2010,4
E01001010,Croydon,Sexual Offences,Rape,0,2012,3
E01002599,Hounslow,Theft and Handling,Theft/Taking of Pedal Cycle,0,2013,1
E01001257,Ealing,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2010,2
E01033737,Greenwich,Violence Against the Person,Harassment,0,2011,4
E01003625,Newham,Theft and Handling,Other Theft,0,2013,3
E01003001,Kingston upon Thames,Theft and Handling,Handling Stolen Goods,0,2012,5
E01004624,Wandsworth,Violence Against the Person,Assault with Injury,0,2012,1
E01004419,Waltham Forest,Violence Against the Person,Offensive Weapon,0,2013,2
E01032786,Tower Hamlets,Violence Against the Person,Other violence,0,2013,4
E01000422,Bexley,Violence Against the Person,Common Assault,1,2008,7
E01002713,Islington,Theft and Handling,Theft From Motor Vehicle,0,2011,12
E01000903,Camden,Theft and Handling,Handling Stolen Goods,0,2015,9
E01001092,Croydon,Sexual Offences,Rape,0,2010,11
