E01001364,Ealing,Violence Against the Person,Harassment,0,2014,5
E01000790,Bromley,Drugs,Possession Of Drugs,4,2011,3
E01001140,Croydon,Violence Against the Person,Assault with Injury,1,2016,10
E01033207,Lambeth,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2008,2
E01004677,Westminster,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,4
E01002836,Kensington and Chelsea,Violence Against the Person,Common Assault,1,2011,1
E01002990,Kingston upon Thames,Theft and Handling,Other Theft Person,0,2008,7
E01003617,Newham,Criminal Damage,Other Criminal Damage,4,2012,1
E01003065,Lambeth,Theft and Handling,Other Theft,2,2012,7
E01000083,Barking and Dagenham,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2016,7
E01000505,Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2009,9
E01000675,Bromley,Drugs,Possession Of Drugs,4,2012,3
E01000049,Barking and Dagenham,Theft and Handling,Other Theft Person,0,2010,1
E01000124,Barnet,Theft and Handling,Other Theft,2,2009,10
E01002249,Havering,Violence Against the Person,Harassment,0,2013,10
E01000067,Barking and Dagenham,Criminal Damage,Other Criminal Damage,0,2016,8
E01004385,Waltham Forest,Robbery,Business Property,0,2013,7
E01000221,Barnet,Theft and Handling,Motor Vehicle Interference & Tampering,0,2011,3
E01001620,Greenwich,Theft and Handling,Other Theft,1,2014,5
E01003896,Richmond upon Thames,Theft and Handling,Handling Stolen Goods,0,2016,7
E01004188,Sutton,Other Notifiable Offences,Other Notifiable,1,2016,9
E01002461,Hillingdon,Drugs,Drug Trafficking,0,2014,4
E01000084,Barking and Dagenham,Burglary,Burglary in a Dwelling,1,2012,3
E01000669,Bromley,Violence Against the Person,Wounding/GBH,1,2013,8
E01001430,Enfield,Criminal Damage,Criminal Damage To Motor Vehicle,0,2015,2
E01001488,Enfield,Robbery,Personal Property,0,2015,8
E01000169,Barnet,Drugs,Drug Trafficking,0,2015,12
E01000224,Barnet,Theft and Handling,Other Theft Person,0,2013,5
E01001023,Croydon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,12
E01004046,Southwark,Criminal Damage,Other Criminal Damage,0,2015,2
E01000490,Brent,Robbery,Business Property,0,2014,1
E01001549,Enfield,Robbery,Personal Property,0,2010,3
E01004632,Wandsworth,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2014,10
E01002366,Havering,Violence Against the Person,Other violence,0,2009,5
E01001940,Hammersmith and Fulham,Drugs,Possession Of Drugs,4,2008,10
E01000526,Brent,Criminal Damage,Criminal Damage To Other Building,0,2010,2
E01002790,Islington,Criminal Damage,Other Criminal Damage,0,2008,2
E01000764,Bromley,Criminal Damage,Criminal Damage To Dwelling,1,2012,11
E01003762,Redbridge,Violence Against the Person,Assault with Injury,0,2011,2
E01003186,Lambeth,Robbery,Personal Property,1,2009,1
E01002055,Haringey,Criminal Damage,Criminal Damage To Other Building,0,2014,10
E01000856,Camden,Violence Against the Person,Offensive Weapon,0,2010,1
E01002842,Kensington and Chelsea,Theft and Handling,Theft/Taking of Pedal Cycle,0,2010,1
E01003148,Lambeth,Theft and Handling,Theft From Shops,0,2013,7
E01003673,Redbridge,Criminal Damage,Criminal Damage To Other Building,0,2009,5
E01003810,Richmond upon Thames,Violence Against the Person,Other violence,0,2009,8
E01003152,Lambeth,Criminal Damage,Other Criminal Damage,0,2014,5
E01002177,Harrow,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2011,7
E01002028,Haringey,Robbery,Personal Property,0,2009,5
E01003825,Richmond upon Thames,Violence Against the Person,Assault with Injury,0,2012,12
E01001645,Greenwich,Theft and Handling,Other Theft Person,0,2008,5
E01003325,Lewisham,Violence Against the Person,Other violence,1,2008,8
E01001292,Ealing,Drugs,Other Drugs,0,2009,7
E01002806,Islington,Burglary,Burglary in Other Buildings,0,2012,5
E01004653,Westminster,Criminal Damage,Other Criminal Damage,0,2015,7
E01002979,Kingston upon Thames,Violence Against the Person,Harassment,1,2016,4
E01000581,Brent,Criminal Damage,Criminal Damage To Other Building,0,2011,2
E01001082,Croydon,Criminal Damage,Criminal Damage To Dwelling,0,2009,7
E01033742,Greenwich,Theft and Handling,Other Theft,0,2016,12
E01003157,Lambeth,Theft and Handling,Other Theft Person,0,2012,11
E01002379,Havering,Violence Against the Person,Wounding/GBH,0,2008,11
E01004096,Sutton,Theft and Handling,Theft From Shops,0,2015,8
E01003697,Redbridge,Violence Against the Person,Assault with Injury,1,2009,9
E01004587,Wandsworth,Violence Against the Person,Wounding/GBH,0,2012,10
E01003229,Lewisham,Theft and Handling,Theft From Shops,2,2008,12
E01004007,Southwark,Theft and Handling,Theft From Shops,0,2012,7
E01001062,Croydon,Sexual Offences,Rape,0,2013,5
E01001224,Ealing,Burglary,Burglary in a Dwelling,4,2014,8
E01033486,Islington,Violence Against the Person,Offensive Weapon,1,2013,11
E01033725,Hillingdon,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2008,9
E01004402,Waltham Forest,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,10
E01004342,Waltham Forest,Burglary,Burglary in a Dwelling,2,2012,1
E01003041,Lambeth,Robbery,Personal Property,1,2010,3
E01004661,Westminster,Other Notifiable Offences,Other Notifiable,2,2016,2
E01000775,Bromley,Theft and Handling,Theft/Taking of Pedal Cycle,0,2012,8
E01002682,Hounslow,Theft and Handling,Theft/Taking of Pedal Cycle,1,2012,10
E01002027,Haringey,Violence Against the Person,Common Assault,1,2016,12
E01001535,Enfield,Criminal Damage,Other Criminal Damage,0,2013,5
E01002301,Havering,Robbery,Business Property,0,2009,3
E01003070,Lambeth,Violence Against the Person,Harassment,1,2014,8
E01001321,Ealing,Robbery,Business Property,0,2011,1
E01033133,Wandsworth,Theft and Handling,Other Theft Person,0,2009,7
E01004539,Wandsworth,Violence Against the Person,Common Assault,4,2015,1
E01033584,Newham,Criminal Damage,Criminal Damage To Other Building,0,2010,10
E01002235,Harrow,Robbery,Personal Property,0,2009,9
E01003259,Lewisham,Criminal Damage,Criminal Damage To Dwelling,0,2009,6
E01001238,Ealing,Drugs,Drug Trafficking,0,2008,11
E01001582,Greenwich,Violence Against the Person,Common Assault,2,2015,7
E01002617,Hounslow,Theft and Handling,Theft From Motor Vehicle,1,2010,12
E01003380,Merton,Theft and Handling,Motor Vehicle Interference & Tampering,0,2011,5
E01003886,Richmond upon Thames,Violence Against the Person,Harassment,0,2012,3
E01003925,Southwark,Violence Against the Person,Common Assault,0,2009,5
E01003624,Newham,Theft and Handling,Theft From Motor Vehicle,2,2009,10
E01003352,Lewisham,Robbery,Personal Property,0,2014,3
E01000446,Bexley,Theft and Handling,Other Theft,0,2016,5
E01000001,City of London,Burglary,Burglary in Other Buildings,0,2010,11
E01003715,Redbridge,Drugs,Drug Trafficking,0,2012,2
E01000365,Bexley,Criminal Damage,Criminal Damage To Motor Vehicle,0,2014,5
E01001520,Enfield,Drugs,Possession Of Drugs,1,2014,1
E01001744,Hackney,Theft and Handling,Theft From Motor Vehicle,0,2014,7
E01004611,Wandsworth,Violence Against the Person,Assault with Injury,0,2012,9
E01033324,Lewisham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2013,11
E01004242,Tower Hamlets,Violence Against the Person,Other violence,0,2011,12
E01004761,Westminster,Criminal Damage,Criminal Damage To Other Building,1,2016,9
E01003547,Newham,Violence Against the Person,Harassment,2,2009,8
E01000713,Bromley,Burglary,Burglary in a Dwelling,0,2011,5
E01000511,Brent,Other Notifiable Offences,Going Equipped,0,2013,10
E01033743,Greenwich,Robbery,Personal Property,0,2009,6
E01003652,Redbridge,Violence Against the Person,Offensive Weapon,0,2010,10
E01003528,Newham,Criminal Damage,Criminal Damage To Other Building,0,2009,8
E01003518,Newham,Burglary,Burglary in Other Buildings,0,2013,9
E01002747,Islington,Robbery,Business Property,0,2012,5
E01000127,Barnet,Fraud or Forgery,Other Fraud & Forgery,0,2010,8
E01001514,Enfield,Theft and Handling,Other Theft Person,0,2013,8
E01003376,Merton,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,9
E01000152,Barnet,Violence Against the Person,Other violence,0,2011,5
E01003991,Southwark,Criminal Damage,Criminal Damage To Other Building,0,2012,6
E01002589,Hounslow,Violence Against the Person,Other violence,0,2011,9
E01000970,Camden,Theft and Handling,Theft From Motor Vehicle,0,2012,10
E01032783,Tower Hamlets,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2012,7
E01002686,Hounslow,Robbery,Personal Property,0,2009,1
E01002971,Kingston upon Thames,Violence Against the Person,Offensive Weapon,0,2012,3
E01004743,Westminster,Criminal Damage,Criminal Damage To Other Building,0,2012,10
