E01003933,Southwark,Theft and Handling,Other Theft,5,2010,12
E01001549,Enfield,Criminal Damage,Criminal Damage To Dwelling,1,2009,1
E01000678,Bromley,Burglary,Burglary in a Dwelling,0,2016,8
E01000937,Camden,Theft and Handling,Handling Stolen Goods,0,2009,2
E01001014,Croydon,Violence Against the Person,Wounding/GBH,0,2012,1
E01002907,Kensington and Chelsea,Criminal Damage,Criminal Damage To Dwelling,0,2010,12
E01001937,Hammersmith and Fulham,Other Notifiable Offences,Other Notifiable,1,2009,4
E01004488,Wandsworth,Violence Against the Person,Assault with Injury,0,2015,8
E01004317,Tower Hamlets,Burglary,Burglary in a Dwelling,2,2010,6
E01002034,Haringey,Robbery,Business Property,0,2012,11
E01004070,Southwark,Theft and Handling,Theft From Motor Vehicle,1,2013,6
E01004744,Westminster,Violence Against the Person,Other violence,0,2012,3
E01001055,Croydon,Drugs,Possession Of Drugs,0,2010,9
E01001117,Croydon,Violence Against the Person,Common Assault,2,2012,2
E01004458,Waltham Forest,Theft and Handling,Motor Vehicle Interference & Tampering,0,2013,7
E01002026,Haringey,Drugs,Drug Trafficking,0,2009,3
E01001779,Hackney,Sexual Offences,Other Sexual,0,2015,5
E01002827,Kensington and Chelsea,Drugs,Possession Of Drugs,1,2014,8
E01004448,Waltham Forest,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,1
E01001934,Hammersmith and Fulham,Robbery,Personal Property,0,2012,4
E01002430,Hillingdon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,12
E01003406,Merton,Violence Against the Person,Common Assault,0,2009,11
E01002355,Havering,Burglary,Burglary in a Dwelling,0,2015,6
E01003661,Redbridge,Violence Against the Person,Harassment,0,2014,12
E01000339,Bexley,Violence Against the Person,Assault with Injury,0,2012,5
E01002369,Havering,Drugs,Possession Of Drugs,1,2013,10
E01003883,Richmond upon Thames,Drugs,Possession Of Drugs,0,2008,1
E01000346,Bexley,Burglary,Burglary in Other Buildings,0,2008,10
E01000370,Bexley,Violence Against the Person,Common Assault,1,2013,3
E01003238,Lewisham,Robbery,Business Property,0,2010,11
E01002313,Havering,Criminal Damage,Other Criminal Damage,0,2009,9
E01001907,Hammersmith and Fulham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,8
E01001596,Greenwich,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2012,7
E01000786,Bromley,Theft and Handling,Motor Vehicle Interference & Tampering,0,2008,9
E01000588,Brent,Theft and Handling,Theft/Taking of Pedal Cycle,0,2013,10
E01000709,Bromley,Theft and Handling,Handling Stolen Goods,0,2008,12
E01001869,Hammersmith and Fulham,Violence Against the Person,Offensive Weapon,0,2010,12
E01003120,Lambeth,Burglary,Burglary in Other Buildings,1,2010,11
E01003016,Lambeth,Robbery,Business Property,0,2011,8
E01001713,Greenwich,Theft and Handling,Handling Stolen Goods,0,2012,4
E01000317,Barnet,Violence Against the Person,Harassment,0,2012,7
E01001714,Hackney,Violence Against the Person,Offensive Weapon,0,2009,9
E01003060,Lambeth,Violence Against the Person,Offensive Weapon,0,2014,3
E01001534,Enfield,Violence Against the Person,Common Assault,0,2012,11
E01033491,Islington,Criminal Damage,Criminal Damage To Dwelling,0,2014,12
E01002652,Hounslow,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2010,9
E01003482,Newham,Violence Against the Person,Murder,0,2008,11
E01000307,Barnet,Theft and Handling,Handling Stolen Goods,1,2008,4
E01001304,Ealing,Burglary,Burglary in Other Buildings,0,2015,9
E01003833,Richmond upon Thames,Criminal Damage,Other Criminal Damage,0,2013,2
E01001435,Enfield,Criminal Damage,Criminal Damage To Dwelling,0,2016,3
E01001207,Ealing,Criminal Damage,Criminal Damage To Motor Vehicle,0,2015,4
E01001508,Enfield,Theft and Handling,Motor Vehicle Interference & Tampering,0,2008,12
E01004013,Southwark,Criminal Damage,Criminal Damage To Motor Vehicle,0,2010,8
E01001764,Hackney,Theft and Handling,Motor Vehicle Interference & Tampering,0,2015,10
E01002004,Haringey,Violence Against the Person,Offensive Weapon,0,2008,6
E01002707,Islington,Theft and Handling,Theft From Motor Vehicle,0,2009,2
E01000260,Barnet,Fraud or Forgery,Counted per Victim,0,2015,12
E01000471,Brent,Burglary,Burglary in Other Buildings,0,2015,6
E01002181,Harrow,Theft and Handling,Other Theft,0,2014,4
E01003784,Redbridge,Theft and Handling,Other Theft Person,0,2008,7
E01000438,Bexley,Robbery,Business Property,0,2008,12
E01004056,Southwark,Drugs,Possession Of Drugs,0,2009,7
E01002852,Kensington and Chelsea,Criminal Damage,Other Criminal Damage,0,2012,10
E01033000,Hounslow,Burglary,Burglary in Other Buildings,0,2010,6
E01001832,Hackney,Fraud or Forgery,Other Fraud & Forgery,0,2013,9
E01000114,Barking and Dagenham,Violence Against the Person,Wounding/GBH,2,2013,6
E01002709,Islington,Criminal Damage,Criminal Damage To Dwelling,0,2014,1
E01001981,Haringey,Theft and Handling,Other Theft Person,0,2012,3
E01002450,Hillingdon,Burglary,Burglary in Other Buildings,0,2009,2
E01003507,Newham,Other Notifiable Offences,Going Equipped,0,2013,3
E01002558,Hounslow,Criminal Damage,Criminal Damage To Dwelling,0,2014,12
E01002124,Harrow,Criminal Damage,Criminal Damage To Dwelling,0,2015,3
E01000219,Barnet,Drugs,Possession Of Drugs,0,2010,7
E01001470,Enfield,Violence Against the Person,Wounding/GBH,0,2012,10
E01002530,Hillingdon,Theft and Handling,Theft/Taking of Pedal Cycle,0,2015,12
E01033585,Newham,Criminal Damage,Other Criminal Damage,1,2015,10
E01001455,Enfield,Theft and Handling,Other Theft,0,2013,8
E01000839,Bromley,Theft and Handling,Other Theft Person,0,2016,9
E01003041,Lambeth,Violence Against the Person,Wounding/GBH,0,2016,1
E01004100,Sutton,Theft and Handling,Theft From Shops,0,2013,1
E01001200,Ealing,Violence Against the Person,Common Assault,2,2016,2
E01004181,Sutton,Drugs,Drug Trafficking,0,2012,9
E01000014,Barking and Dagenham,Theft and Handling,Theft From Shops,0,2012,10
E01001590,Greenwich,Robbery,Personal Property,1,2012,6
E01002980,Kingston upon Thames,Theft and Handling,Other Theft,1,2015,2
E01003422,Merton,Theft and Handling,Other Theft Person,0,2009,5
E01003648,Redbridge,Theft and Handling,Theft/Taking of Pedal Cycle,0,2014,5
E01002061,Haringey,Criminal Damage,Other Criminal Damage,0,2008,4
E01004455,Waltham Forest,Theft and Handling,Theft/Taking of Pedal Cycle,0,2011,10
E01003011,Kingston upon Thames,Violence Against the Person,Common Assault,1,2013,4
E01003449,Merton,Violence Against the Person,Wounding/GBH,0,2016,6
E01004625,Wandsworth,Violence Against the Person,Wounding/GBH,0,2014,9
