E01002480,Hillingdon,Theft and Handling,Other Theft,0,2013,10
E01003366,Merton,Burglary,Burglary in Other Buildings,0,2008,11
E01003600,Newham,Criminal Damage,Criminal Damage To Dwelling,0,2014,8
E01001709,Greenwich,Other Notifiable Offences,Other Notifiable,0,2014,1
E01004178,Sutton,Theft and Handling,Other Theft Person,0,2008,12
E01002333,Havering,Violence Against the Person,Offensive Weapon,0,2015,3
E01003240,Lewisham,Violence Against the Person,Murder,0,2014,5
E01003674,Redbridge,Criminal Damage,Criminal Damage To Other Building,0,2012,5
E01003385,Merton,Violence Against the Person,Assault with Injury,0,2010,5
E01000072,Barking and Dagenham,Theft and Handling,Other Theft,2,2016,3
E01001095,Croydon,Violence Against the Person,Assault with Injury,1,2011,5
E01004420,Waltham Forest,Other Notifiable Offences,Going Equipped,0,2010,6
E01003572,Newham,Theft and Handling,Theft From Shops,0,2009,1
E01002608,Hounslow,Drugs,Other Drugs,0,2010,11
E01001398,Enfield,Burglary,Burglary in a Dwelling,1,2013,1
E01002365,Havering,Theft and Handling,Other Theft Person,0,2016,1
E01000964,Camden,Other Notifiable Offences,Going Equipped,0,2015,3
E01000107,Barking and Dagenham,Drugs,Drug Trafficking,0,2015,8
E01002594,Hounslow,Violence Against the Person,Offensive Weapon,0,2011,1
E01001664,Greenwich,Violence Against the Person,Offensive Weapon,0,2013,12
E01002579,Hounslow,Theft and Handling,Other Theft Person,0,2012,1
E01001895,Hammersmith and Fulham,Violence Against the Person,Other violence,0,2009,11
E01000885,Camden,Violence Against the Person,Assault with Injury,0,2013,10
E01003885,Richmond upon Thames,Violence Against the Person,Common Assault,0,2016,4
E01000903,Camden,Robbery,Personal Property,0,2014,5
E01001138,Croydon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2008,6
E01003954,Southwark,Theft and Handling,Other Theft Person,0,2009,5
E01003080,Lambeth,Drugs,Drug Trafficking,0,2008,7
E01001433,Enfield,Criminal Damage,Other Criminal Damage,0,2012,8
E01004218,Tower Hamlets,Drugs,Drug Trafficking,0,2016,11
E01032581,Redbridge,Burglary,Burglary in a Dwelling,0,2008,9
E01004003,Southwark,Criminal Damage,Criminal Damage To Motor Vehicle,1,2015,2
E01002449,Hillingdon,Criminal Damage,Criminal Damage To Motor Vehicle,0,2015,10
E01004458,Waltham Forest,Drugs,Drug Trafficking,0,2014,7
E01000337,Bexley,Violence Against the Person,Common Assault,0,2014,3
E01003261,Lewisham,Burglary,Burglary in a Dwelling,0,2011,2
E01002499,Hillingdon,Theft and Handling,Theft From Motor Vehicle,0,2015,8
E01002716,Islington,Theft and Handling,Theft From Motor Vehicle,1,2013,1
E01003327,Lewisham,Criminal Damage,Criminal Damage To Motor Vehicle,2,2009,10
E01001393,Enfield,Criminal Damage,Criminal Damage To Other Building,0,2013,11
E01003492,Newham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2011,7
E01002834,Kensington and Chelsea,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2016,11
E01002491,Hillingdon,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2015,11
E01001292,Ealing,Drugs,Drug Trafficking,0,2009,3
E01000921,Camden,Drugs,Possession Of Drugs,2,2009,3
E01004153,Sutton,Drugs,Possession Of Drugs,0,2012,1
E01000321,Barnet,Violence Against the Person,Common Assault,0,2011,4
E01001167,Croydon,Violence Against the Person,Other violence,0,2015,2
E01001618,Greenwich,Drugs,Drug Trafficking,0,2009,12
E01033030,Hounslow,Theft and Handling,Handling Stolen Goods,0,2010,2
E01001450,Enfield,Theft and Handling,Other Theft Person,1,2014,8
E01000055,Barking and Dagenham,Violence Against the Person,Other violence,0,2009,7
E01033593,Westminster,Violence Against the Person,Assault with Injury,0,2009,3
E01004277,Tower Hamlets,Theft and Handling,Other Theft Person,0,2009,3
E01003835,Richmond upon Thames,Theft and Handling,Theft/Taking of Pedal Cycle,1,2015,4
E01003643,Redbridge,Criminal Damage,Criminal Damage To Motor Vehicle,0,2009,1
E01001025,Croydon,Robbery,Personal Property,0,2009,4
E01004233,Tower Hamlets,Violence Against the Person,Assault with Injury,0,2009,7
E01002805,Islington,Theft and Handling,Theft From Motor Vehicle,2,2008,5
E01033583,Newham,Drugs,Drug Trafficking,0,2008,12
E01002579,Hounslow,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2013,10
E01001403,Enfield,Violence Against the Person,Assault with Injury,2,2008,12
E01004421,Waltham Forest,Drugs,Drug Trafficking,0,2016,1
E01001831,Hackney,Drugs,Other Drugs,0,2011,12
E01003317,Lewisham,Robbery,Business Property,0,2011,9
E01002133,Harrow,Burglary,Burglary in a Dwelling,0,2014,10
E01004115,Sutton,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2015,1
E01003550,Newham,Robbery,Personal Property,1,2012,4
E01001698,Greenwich,Violence Against the Person,Offensive Weapon,1,2016,10
E01003003,Kingston upon Thames,Theft and Handling,Other Theft Person,0,2013,8
E01002833,Kensington and Chelsea,Theft and Handling,Other Theft,5,2013,5
E01004360,Waltham Forest,Theft and Handling,Motor Vehicle Interference & Tampering,0,2013,5
E01000698,Bromley,Violence Against the Person,Common Assault,0,2013,3
E01001415,Enfield,Fraud or Forgery,Other Fraud & Forgery,0,2013,5
E01003869,Richmond upon Thames,Violence Against the Person,Harassment,1,2013,5
E01003810,Richmond upon Thames,Theft and Handling,Other Theft,2,2008,6
E01000866,Camden,Theft and Handling,Handling Stolen Goods,0,2013,6
E01000642,Brent,Criminal Damage,Criminal Damage To Motor Vehicle,0,2011,9
E01004547,Wandsworth,Criminal Damage,Criminal Damage To Dwelling,1,2008,4
E01000220,Barnet,Violence Against the Person,Assault with Injury,2,2010,11
E01004511,Wandsworth,Drugs,Drug Trafficking,0,2013,8
E01002662,Hounslow,Theft and Handling,Theft From Motor Vehicle,0,2011,12
E01000663,Bromley,Criminal Damage,Criminal Damage To Dwelling,0,2011,1
E01000915,Camden,Violence Against the Person,Other violence,0,2015,4
E01000383,Bexley,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2011,11
E01004715,Westminster,Theft and Handling,Motor Vehicle Interference & Tampering,0,2015,12
E01000122,Barnet,Criminal Damage,Criminal Damage To Dwelling,0,2009,3
E01001348,Ealing,Criminal Damage,Other Criminal Damage,0,2013,12
E01001415,Enfield,Criminal Damage,Other Criminal Damage,1,2008,1
E01001335,Ealing,Violence Against the Person,Common Assault,0,2008,4
E01004479,Wandsworth,Robbery,Business Property,0,2009,4
E01001133,Croydon,Drugs,Possession Of Drugs,0,2011,9
E01033743,Greenwich,Theft and Handling,Other Theft Person,0,2012,10
E01001794,Hackney,Sexual Offences,Other Sexual,0,2010,6
E01004351,Waltham Forest,Other Notifiable Offences,Going Equipped,0,2014,4
E01003198,Lewisham,Criminal Damage,Criminal Damage To Dwelling,0,2014,4
E01004124,Sutton,Robbery,Business Property,0,2008,6
E01001202,Ealing,Violence Against the Person,Offensive Weapon,1,2015,11
E01004211,Tower Hamlets,Theft and Handling,Theft/Taking of Pedal Cycle,2,2008,9
E01000066,Barking and Dagenham,Drugs,Possession Of Drugs,1,2010,3
E01000225,Barnet,Robbery,Business Property,0,2009,12
E01003597,Newham,Theft and Handling,Handling Stolen Goods,0,2010,7
E01000173,Barnet,Other Notifiable Offences,Other Notifiable,0,2009,10
E01000325,Bexley,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,4
E01002354,Havering,Theft and Handling,Theft From Shops,0,2013,9
E01001991,Haringey,Burglary,Burglary in a Dwelling,2,2016,7
E01003139,Lambeth,Theft and Handling,Other Theft,0,2013,1
E01002508,Hillingdon,Burglary,Burglary in a Dwelling,0,2015,3
E01001664,Greenwich,Drugs,Possession Of Drugs,0,2012,2
E01004681,Westminster,Violence Against the Person,Common Assault,0,2015,8
E01003492,Newham,Theft and Handling,Other Theft,0,2010,10
E01000893,Camden,Violence Against the Person,Common Assault,0,2009,4
E01004545,Wandsworth,Violence Against the Person,Assault with Injury,1,2011,1
E01002149,Harrow,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,9
E01002369,Havering,Robbery,Personal Property,0,2015,3
E01003245,Lewisham,Criminal Damage,Criminal Damage To Motor Vehicle,1,2014,10
E01003709,Redbridge,Criminal Damage,Other Criminal Damage,0,2012,2
E01000342,Bexley,Drugs,Drug Trafficking,0,2010,11
E01001496,Enfield,Drugs,Possession Of Drugs,0,2013,10
E01001149,Croydon,Drugs,Possession Of Drugs,0,2010,12
E01000594,Brent,Drugs,Drug Trafficking,0,2009,5
E01000833,Bromley,Fraud or Forgery,Counted per Victim,0,2012,8
E01003404,Merton,Drugs,Possession Of Drugs,0,2015,1
E01001767,Hackney,Violence Against the Person,Murder,0,2008,1
E01000378,Bexley,Drugs,Possession Of Drugs,2,2010,1
