E01001486,Enfield,Violence Against the Person,Assault with Injury,2,2010,8
E01003495,Newham,Theft and Handling,Theft From Shops,0,2008,11
E01000429,Bexley,Drugs,Drug Trafficking,0,2009,10
E01004041,Southwark,Robbery,Business Property,0,2011,4
E01000133,Barnet,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,2
E01003798,Richmond upon Thames,Theft and Handling,Handling Stolen Goods,0,2014,11
E01001871,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Dwelling,0,2008,8
E01003768,Redbridge,Criminal Damage,Criminal Damage To Other Building,0,2008,11
E01002753,Islington,Criminal Damage,Other Criminal Damage,0,2009,7
E01003932,Southwark,Burglary,Burglary in a Dwelling,2,2008,3
E01000607,Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2009,6
E01000544,Brent,Theft and Handling,Other Theft,1,2013,11
E01003897,Richmond upon Thames,Violence Against the Person,Offensive Weapon,1,2008,5
E01000866,Camden,Robbery,Personal Property,1,2008,6
E01000459,Bexley,Criminal Damage,Other Criminal Damage,1,2015,3
E01004654,Westminster,Theft and Handling,Handling Stolen Goods,0,2012,10
E01001237,Ealing,Criminal Damage,Criminal Damage To Motor Vehicle,1,2009,6
E01003083,Lambeth,Theft and Handling,Other Theft Person,0,2009,9
E01004476,Wandsworth,Burglary,Burglary in Other Buildings,3,2013,10
E01000714,Bromley,Burglary,Burglary in a Dwelling,2,2008,2
E01002055,Haringey,Burglary,Burglary in Other Buildings,1,2016,5
E01003633,Newham,Burglary,Burglary in Other Buildings,0,2009,11
E01002632,Hounslow,Burglary,Burglary in a Dwelling,2,2015,9
E01001465,Enfield,Theft and Handling,Other Theft Person,2,2012,8
E01000159,Barnet,Violence Against the Person,Offensive Weapon,0,2015,12
E01003404,Merton,Burglary,Burglary in Other Buildings,2,2015,12
E01000811,Bromley,Criminal Damage,Criminal Damage To Other Building,0,2015,1
E01001745,Hackney,Theft and Handling,Other Theft Person,0,2015,8
E01000168,Barnet,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2011,5
E01000627,Brent,Other Notifiable Offences,Other Notifiable,0,2016,10
E01001124,Croydon,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,10
E01001106,Croydon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2015,7
E01002359,Havering,Robbery,Personal Property,0,2013,8
E01003814,Richmond upon Thames,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,2
E01004340,Waltham Forest,Burglary,Burglary in a Dwelling,0,2011,1
E01002728,Islington,Criminal Damage,Criminal Damage To Other Building,0,2010,4
E01000335,Bexley,Fraud or Forgery,Other Fraud & Forgery,0,2015,10
E01003155,Lambeth,Criminal Damage,Criminal Damage To Other Building,0,2011,5
E01002251,Havering,Criminal Damage,Criminal Damage To Dwelling,2,2010,4
E01001396,Enfield,Violence Against the Person,Wounding/GBH,0,2009,10
E01001451,Enfield,Burglary,Burglary in Other Buildings,1,2009,3
E01002663,Hounslow,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,7
E01001083,Croydon,Drugs,Possession Of Drugs,0,2016,6
E01000957,Camden,Violence Against the Person,Common Assault,0,2009,2
E01002915,Kingston upon Thames,Robbery,Personal Property,0,2015,9
E01002620,Hounslow,Theft and Handling,Theft From Motor Vehicle,1,2008,9
E01003389,Merton,Theft and Handling,Theft/Taking of Pedal Cycle,0,2010,7
E01000885,Camden,Drugs,Drug Trafficking,0,2008,9
E01004199,Tower Hamlets,Theft and Handling,Theft From Motor Vehicle,1,2010,1
E01000638,Brent,Burglary,Burglary in a Dwelling,0,2008,7
E01003359,Merton,Drugs,Drug Trafficking,0,2015,5
E01001517,Enfield,Theft and Handling,Other Theft Person,0,2008,10
E01002427,Hillingdon,Violence Against the Person,Assault with Injury,1,2010,6
E01004567,Wandsworth,Theft and Handling,Theft/Taking of Pedal Cycle,0,2010,5
E01003991,Southwark,Fraud or Forgery,Other Fraud & Forgery,0,2014,7
E01004661,Westminster,Criminal Damage,Criminal Damage To Dwelling,0,2013,1
E01033320,Lewisham,Theft and Handling,Theft From Shops,0,2011,4
E01003536,Newham,Violence Against the Person,Common Assault,1,2013,7
E01000716,Bromley,Drugs,Drug Trafficking,0,2014,5
E01000514,Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2012,3
E01000042,Barking and Dagenham,Violence Against the Person,Other violence,2,2016,7
E01003415,Merton,Burglary,Burglary in Other Buildings,0,2011,10
E01002677,Hounslow,Violence Against the Person,Wounding/GBH,2,2012,9
E01000030,Barking and Dagenham,Robbery,Personal Property,0,2010,6
E01000581,Brent,Violence Against the Person,Offensive Weapon,0,2011,11
E01004473,Wandsworth,Criminal Damage,Criminal Damage To Other Building,0,2015,9
E01001099,Croydon,Violence Against the Person,Common Assault,0,2012,4
E01002157,Harrow,Robbery,Business Property,0,2009,3
E01003446,Merton,Theft and Handling,Motor Vehicle Interference & Tampering,0,2011,6
E01001384,Ealing,Burglary,Burglary in a Dwelling,1,2016,5
E01004202,Tower Hamlets,Violence Against the Person,Other violence,0,2013,9
E01001241,Ealing,Violence Against the Person,Offensive Weapon,0,2011,11
E01001324,Ealing,Violence Against the Person,Other violence,0,2011,12
E01001173,Croydon,Theft and Handling,Theft From Motor Vehicle,2,2013,11
E01003611,Newham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,3
E01000115,Barnet,Violence Against the Person,Wounding/GBH,0,2015,6
E01001478,Enfield,Violence Against the Person,Wounding/GBH,0,2013,7
E01002080,Haringey,Criminal Damage,Criminal Damage To Other Building,0,2012,6
E01002784,Islington,Burglary,Burglary in Other Buildings,0,2009,3
E01001129,Croydon,Violence Against the Person,Other violence,0,2009,1
E01001843,Hackney,Burglary,Burglary in Other Buildings,0,2016,7
E01001972,Haringey,Theft and Handling,Other Theft,1,2008,1
E01002248,Havering,Other Notifiable Offences,Other Notifiable,0,2015,10
E01004200,Tower Hamlets,Violence Against the Person,Offensive Weapon,0,2011,11
E01004004,Southwark,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,5
E01001246,Ealing,Burglary,Burglary in Other Buildings,0,2015,5
E01004305,Tower Hamlets,Burglary,Burglary in a Dwelling,0,2012,11
E01002848,Kensington and Chelsea,Violence Against the Person,Assault with Injury,0,2015,12
E01000404,Bexley,Violence Against the Person,Other violence,0,2009,10
E01003167,Lambeth,Burglary,Burglary in a Dwelling,0,2014,12
E01001198,Ealing,Theft and Handling,Other Theft Person,0,2013,4
E01002816,Kensington and Chelsea,Burglary,Burglary in Other Buildings,0,2016,9
E01003522,Newham,Violence Against the Person,Assault with Injury,1,2008,12
E01003131,Lambeth,Criminal Damage,Criminal Damage To Motor Vehicle,1,2009,1
E01000805,Bromley,Criminal Damage,Criminal Damage To Other Building,0,2014,4
E01001338,Ealing,Violence Against the Person,Harassment,1,2008,1
E01000999,Croydon,Drugs,Other Drugs,0,2014,12
E01001444,Enfield,Other Notifiable Offences,Other Notifiable,0,2016,4
E01003916,Southwark,Theft and Handling,Theft From Motor Vehicle,0,2015,12
E01003406,Merton,Burglary,Burglary in Other Buildings,0,2008,11
E01002374,Havering,Theft and Handling,Theft From Shops,1,2014,9
E01002020,Haringey,Sexual Offences,Other Sexual,0,2008,8
E01002136,Harrow,Violence Against the Person,Common Assault,1,2008,6
E01002879,Kensington and Chelsea,Other Notifiable Offences,Going Equipped,0,2015,10
E01001677,Greenwich,Violence Against the Person,Offensive Weapon,0,2009,6
E01002988,Kingston upon Thames,Theft and Handling,Handling Stolen Goods,0,2008,8
E01004500,Wandsworth,Burglary,Burglary in Other Buildings,0,2011,7
E01001731,Hackney,Criminal Damage,Other Criminal Damage,1,2014,9
E01000052,Barking and Dagenham,Theft and Handling,Theft From Shops,0,2008,7
E01001149,Croydon,Violence Against the Person,Assault with Injury,1,2013,3
E01000132,Barnet,Theft and Handling,Theft From Motor Vehicle,0,2009,12
E01002268,Havering,Violence Against the Person,Wounding/GBH,0,2009,1
