E01002642,Hounslow,Criminal Damage,Other Criminal Damage,1,2013,7
E01032722,Southwark,Burglary,Burglary in Other Buildings,1,2013,2
E01001358,Ealing,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,10
E01004396,Waltham Forest,Robbery,Business Property,0,2009,2
E01003831,Richmond upon Thames,Other Notifiable Offences,Other Notifiable,1,2012,1
E01001847,Hackney,Theft and Handling,Theft From Motor Vehicle,3,2012,10
E01004059,Southwark,Burglary,Burglary in Other Buildings,1,2014,1
E01001129,Croydon,Violence Against the Person,Harassment,0,2013,6
E01004023,Southwark,Other Notifiable Offences,Going Equipped,0,2010,3
E01001176,Croydon,Violence Against the Person,Other violence,0,2010,5
E01033725,Hillingdon,Violence Against the Person,Harassment,0,2010,2
E01003318,Lewisham,Violence Against the Person,Common Assault,5,2016,5
E01000445,Bexley,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2013,2
E01001553,Enfield,Theft and Handling,Motor Vehicle Interference & Tampering,0,2008,10
E01003358,Merton,Violence Against the Person,Other violence,0,2012,5
E01001072,Croydon,Theft and Handling,Other Theft Person,0,2013,1
E01001344,Ealing,Other Notifiable Offences,Other Notifiable,0,2013,2
E01003587,Newham,Robbery,Business Property,2,2009,3
E01003235,Lewisham,Robbery,Business Property,0,2015,5
E01001419,Enfield,Criminal Damage,Criminal Damage To Other Building,0,2015,8
E01000947,Camden,Violence Against the Person,Harassment,3,2015,11
E01002092,Haringey,Violence Against the Person,Other violence,1,2010,3
E01000906,Camden,Criminal Damage,Criminal Damage To Motor Vehicle,0,2014,12
E01002157,Harrow,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2011,10
E01001520,Enfield,Burglary,Burglary in a Dwelling,3,2016,10
E01002195,Harrow,Violence Against the Person,Assault with Injury,0,2016,7
E01001872,Hammersmith and Fulham,Criminal Damage,Other Criminal Damage,0,2008,11
E01004439,Waltham Forest,Drugs,Drug Trafficking,0,2010,10
E01004415,Waltham Forest,Criminal Damage,Criminal Damage To Dwelling,0,2009,1
E01004272,Tower Hamlets,Robbery,Business Property,0,2014,2
E01000096,Barking and Dagenham,Criminal Damage,Criminal Damage To Motor Vehicle,0,2012,12
E01003157,Lambeth,Drugs,Drug Trafficking,0,2011,5
E01000333,Bexley,Violence Against the Person,Common Assault,0,2012,10
E01003489,Newham,Criminal Damage,Criminal Damage To Dwelling,1,2011,8
E01001018,Croydon,Robbery,Business Property,0,2014,5
E01002074,Haringey,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2012,6
E01002385,Havering,Sexual Offences,Other Sexual,0,2013,2
E01000942,Camden,Robbery,Personal Property,0,2010,1
E01000841,Bromley,Other Notifiable Offences,Going Equipped,0,2015,11
E01033711,Hackney,Burglary,Burglary in a Dwelling,0,2009,6
