E01032764,Tower Hamlets,Violence Against the Person,Harassment,2,2015,10
E01000261,Barnet,Theft and Handling,Other Theft Person,0,2011,8
E01000279,Barnet,Theft and Handling,Theft/Taking of Pedal Cycle,0,2015,6
E01002182,Harrow,Theft and Handling,Theft From Shops,0,2008,1
E01004406,Waltham Forest,Theft and Handling,Other Theft,0,2010,2
E01033703,Hackney,Theft and Handling,Theft From Motor Vehicle,0,2009,11
E01001339,Ealing,Theft and Handling,Handling Stolen Goods,0,2009,7
E01000558,Brent,Fraud or Forgery,Counted per Victim,0,2010,3
E01000173,Barnet,Robbery,Personal Property,0,2008,4
E01004221,Tower Hamlets,Drugs,Possession Of Drugs,0,2009,9
E01002721,Islington,Robbery,Business Property,0,2008,12
E01032742,Havering,Drugs,Drug Trafficking,0,2011,10
E01000730,Bromley,Theft and Handling,Other Theft,1,2009,9
E01000552,Brent,Theft and Handling,Other Theft Person,0,2010,7
E01003585,Newham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2010,6
E01000195,Barnet,Theft and Handling,Theft/Taking of Pedal Cycle,0,2008,3
E01002858,Kensington and Chelsea,Theft and Handling,Handling Stolen Goods,0,2010,10
E01001393,Enfield,Criminal Damage,Criminal Damage To Dwelling,0,2010,10
E01001528,Enfield,Drugs,Possession Of Drugs,0,2013,2
E01000234,Barnet,Theft and Handling,Theft From Motor Vehicle,1,2013,2
E01000669,Bromley,Theft and Handling,Theft/Taking of Pedal Cycle,0,2015,8
E01000603,Brent,Theft and Handling,Other Theft,1,2016,5
E01001751,Hackney,Robbery,Business Property,0,2008,11
E01003990,Southwark,Burglary,Burglary in Other Buildings,0,2015,1
E01002804,Islington,Drugs,Drug Trafficking,1,2016,7
E01004124,Sutton,Drugs,Drug Trafficking,0,2015,6
E01001847,Hackney,Robbery,Business Property,2,2009,2
E01002872,Kensington and Chelsea,Other Notifiable Offences,Going Equipped,0,2014,11
E01003146,Lambeth,Drugs,Possession Of Drugs,0,2016,12
E01002076,Haringey,Violence Against the Person,Harassment,2,2012,8
E01002566,Hounslow,Theft and Handling,Handling Stolen Goods,0,2016,2
E01004058,Southwark,Theft and Handling,Other Theft Person,0,2012,1
E01001665,Greenwich,Theft and Handling,Handling Stolen Goods,0,2016,3
E01004550,Wandsworth,Sexual Offences,Rape,0,2016,9
E01003396,Merton,Criminal Damage,Other Criminal Damage,0,2016,8
E01033734,Greenwich,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2013,9
E01004098,Sutton,Drugs,Possession Of Drugs,1,2012,12
E01003213,Lewisham,Violence Against the Person,Harassment,2,2011,5
E01001346,Ealing,Criminal Damage,Other Criminal Damage,0,2016,9
E01002362,Havering,Violence Against the Person,Harassment,0,2016,2
E01002568,Hounslow,Robbery,Personal Property,1,2008,2
E01001586,Greenwich,Violence Against the Person,Assault with Injury,0,2012,11
E01001244,Ealing,Theft and Handling,Motor Vehicle Interference & Tampering,1,2014,8
E01003207,Lewisham,Burglary,Burglary in a Dwelling,2,2010,9
E01004654,Westminster,Violence Against the Person,Other violence,1,2015,2
E01004089,Sutton,Violence Against the Person,Harassment,4,2013,9
E01000808,Bromley,Violence Against the Person,Common Assault,0,2015,3
E01001939,Hammersmith and Fulham,Other Notifiable Offences,Other Notifiable,0,2016,11
