E01001716,Hackney,Theft and Handling,Theft From Motor Vehicle,0,2012,3
E01032584,Southwark,Violence Against the Person,Wounding/GBH,0,2008,3
E01000804,Bromley,Burglary,Burglary in Other Buildings,0,2015,3
E01003771,Redbridge,Criminal Damage,Other Criminal Damage,1,2015,10
E01000406,Bexley,Fraud or Forgery,Counted per Victim,0,2009,4
E01001613,Greenwich,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,10
E01001216,Ealing,Theft and Handling,Theft From Motor Vehicle,3,2008,7
E01004680,Westminster,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2013,8
E01001573,Greenwich,Criminal Damage,Criminal Damage To Motor Vehicle,1,2011,3
E01002932,Kingston upon Thames,Burglary,Burglary in a Dwelling,1,2015,4
E01002158,Harrow,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,12
E01002161,Harrow,Criminal Damage,Criminal Damage To Other Building,0,2012,1
E01004525,Wandsworth,Violence Against the Person,Assault with Injury,3,2013,6
E01001673,Greenwich,Drugs,Other Drugs,0,2015,10
E01004547,Wandsworth,Burglary,Burglary in Other Buildings,0,2009,2
E01002312,Havering,Criminal Damage,Other Criminal Damage,0,2016,3
E01004274,Tower Hamlets,Criminal Damage,Criminal Damage To Motor Vehicle,0,2009,1
E01001944,Hammersmith and Fulham,Drugs,Possession Of Drugs,1,2010,9
E01000600,Brent,Violence Against the Person,Other violence,0,2013,5
E01004499,Wandsworth,Theft and Handling,Other Theft,0,2016,4
E01004639,Wandsworth,Theft and Handling,Other Theft,4,2011,7
E01000738,Bromley,Theft and Handling,Other Theft Person,0,2010,7
E01000922,Camden,Violence Against the Person,Harassment,2,2014,10
E01001901,Hammersmith and Fulham,Drugs,Possession Of Drugs,2,2009,7
E01002646,Hounslow,Violence Against the Person,Harassment,0,2012,12
E01004434,Waltham Forest,Fraud or Forgery,Other Fraud & Forgery,0,2011,8
E01001606,Greenwich,Criminal Damage,Criminal Damage To Other Building,0,2015,8
E01004416,Waltham Forest,Violence Against the Person,Offensive Weapon,0,2008,6
E01003235,Lewisham,Theft and Handling,Other Theft Person,0,2014,6
E01002407,Hillingdon,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,1
E01002249,Havering,Robbery,Personal Property,0,2014,6
E01002255,Havering,Theft and Handling,Other Theft,1,2015,9
E01003338,Lewisham,Criminal Damage,Criminal Damage To Motor Vehicle,1,2015,6
E01001301,Ealing,Criminal Damage,Criminal Damage To Dwelling,0,2012,7
E01003132,Lambeth,Other Notifiable Offences,Going Equipped,0,2016,8
E01003716,Redbridge,Burglary,Burglary in a Dwelling,2,2015,3
E01003130,Lambeth,Criminal Damage,Criminal Damage To Motor Vehicle,3,2008,3
E01001809,Hackney,Drugs,Other Drugs,0,2016,5
E01002812,Kensington and Chelsea,Drugs,Possession Of Drugs,0,2010,5
E01003804,Richmond upon Thames,Burglary,Burglary in a Dwelling,0,2011,3
E01000502,Brent,Theft and Handling,Other Theft,2,2009,8
E01002132,Harrow,Theft and Handling,Motor Vehicle Interference & Tampering,0,2014,11
E01000250,Barnet,Violence Against the Person,Other violence,0,2009,8
E01002029,Haringey,Theft and Handling,Theft/Taking of Pedal Cycle,0,2013,8
E01002002,Haringey,Burglary,Burglary in Other Buildings,0,2009,5
E01004391,Waltham Forest,Theft and Handling,Other Theft Person,0,2014,10
E01001486,Enfield,Theft and Handling,Theft/Taking of Pedal Cycle,0,2010,4
E01002198,Harrow,Theft and Handling,Theft From Motor Vehicle,0,2009,9
E01000484,Brent,Burglary,Burglary in Other Buildings,0,2016,3
E01000904,Camden,Theft and Handling,Other Theft Person,5,2016,12
E01001992,Haringey,Theft and Handling,Other Theft Person,0,2010,4
E01003143,Lambeth,Sexual Offences,Other Sexual,0,2012,3
E01003527,Newham,Other Notifiable Offences,Going Equipped,0,2012,7
E01003509,Newham,Criminal Damage,Criminal Damage To Other Building,0,2013,5
E01002135,Harrow,Other Notifiable Offences,Other Notifiable,0,2014,8
E01003646,Redbridge,Violence Against the Person,Assault with Injury,0,2016,5
E01004364,Waltham Forest,Violence Against the Person,Harassment,1,2013,3
E01000603,Brent,Violence Against the Person,Assault with Injury,2,2009,5
E01001992,Haringey,Theft and Handling,Theft From Shops,0,2011,10
E01000839,Bromley,Robbery,Personal Property,0,2011,6
E01000998,Croydon,Theft and Handling,Theft From Motor Vehicle,0,2011,9
E01001903,Hammersmith and Fulham,Robbery,Business Property,0,2011,7
E01002207,Harrow,Theft and Handling,Theft From Shops,0,2009,6
E01000308,Barnet,Violence Against the Person,Common Assault,1,2008,3
E01001152,Croydon,Theft and Handling,Theft From Motor Vehicle,3,2013,6
E01000866,Camden,Theft and Handling,Other Theft,3,2015,5
E01000605,Brent,Drugs,Drug Trafficking,0,2015,6
E01001315,Ealing,Drugs,Other Drugs,0,2008,2
E01001682,Greenwich,Violence Against the Person,Assault with Injury,1,2011,3
E01000671,Bromley,Violence Against the Person,Common Assault,0,2011,9
E01003846,Richmond upon Thames,Violence Against the Person,Assault with Injury,0,2008,9
E01002755,Islington,Criminal Damage,Criminal Damage To Dwelling,1,2011,10
E01000298,Barnet,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,6
E01004628,Wandsworth,Violence Against the Person,Wounding/GBH,0,2014,1
E01001736,Hackney,Theft and Handling,Motor Vehicle Interference & Tampering,0,2008,7
E01000428,Bexley,Theft and Handling,Theft/Taking of Pedal Cycle,0,2010,2
E01001355,Ealing,Theft and Handling,Other Theft Person,0,2014,4
E01004743,Westminster,Violence Against the Person,Assault with Injury,0,2012,9
E01003195,Lewisham,Burglary,Burglary in a Dwelling,0,2009,12
E01003199,Lewisham,Violence Against the Person,Wounding/GBH,0,2013,6
E01000030,Barking and Dagenham,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2015,5
E01000242,Barnet,Violence Against the Person,Other violence,0,2016,10
E01002261,Havering,Drugs,Possession Of Drugs,1,2009,11
E01004630,Wandsworth,Theft and Handling,Theft From Motor Vehicle,0,2010,7
E01004048,Southwark,Violence Against the Person,Wounding/GBH,0,2009,10
E01003281,Lewisham,Violence Against the Person,Assault with Injury,0,2013,2
E01004013,Southwark,Robbery,Personal Property,0,2008,1
E01004159,Sutton,Theft and Handling,Other Theft Person,0,2014,12
E01002087,Haringey,Criminal Damage,Criminal Damage To Other Building,0,2015,12
E01000307,Barnet,Drugs,Drug Trafficking,0,2015,10
E01002068,Haringey,Robbery,Business Property,0,2016,9
E01001921,Hammersmith and Fulham,Violence Against the Person,Common Assault,0,2008,7
E01000477,Brent,Violence Against the Person,Wounding/GBH,0,2010,2
E01003493,Newham,Violence Against the Person,Offensive Weapon,0,2009,1
E01004137,Sutton,Burglary,Burglary in a Dwelling,0,2011,3
E01033740,Greenwich,Robbery,Personal Property,0,2016,4
E01000700,Bromley,Theft and Handling,Other Theft Person,0,2015,3
E01003754,Redbridge,Theft and Handling,Handling Stolen Goods,0,2008,6
E01001899,Hammersmith and Fulham,Theft and Handling,Theft/Taking of Pedal Cycle,2,2008,7
E01000596,Brent,Criminal Damage,Criminal Damage To Other Building,0,2014,4
E01000850,Camden,Other Notifiable Offences,Going Equipped,0,2011,8
E01001000,Croydon,Burglary,Burglary in Other Buildings,2,2010,10
E01000488,Brent,Drugs,Other Drugs,0,2012,1
E01001645,Greenwich,Theft and Handling,Theft From Motor Vehicle,0,2012,7
E01002501,Hillingdon,Violence Against the Person,Wounding/GBH,1,2008,3
E01002023,Haringey,Violence Against the Person,Wounding/GBH,0,2010,6
E01001078,Croydon,Theft and Handling,Other Theft Person,1,2016,12
E01001093,Croydon,Theft and Handling,Theft From Shops,1,2010,4
E01003418,Merton,Criminal Damage,Other Criminal Damage,0,2009,11
E01001494,Enfield,Robbery,Personal Property,0,2009,10
E01002165,Harrow,Theft and Handling,Motor Vehicle Interference & Tampering,0,2013,6
E01002849,Kensington and Chelsea,Theft and Handling,Other Theft Person,0,2008,12
E01003664,Redbridge,Drugs,Drug Trafficking,0,2011,8
E01003465,Merton,Criminal Damage,Criminal Damage To Other Building,0,2010,2
E01001126,Croydon,Theft and Handling,Other Theft,0,2012,2
E01004207,Tower Hamlets,Violence Against the Person,Offensive Weapon,0,2011,2
E01001522,Enfield,Violence Against the Person,Wounding/GBH,1,2013,4
E01001288,Ealing,Violence Against the Person,Assault with Injury,0,2013,8
E01001789,Hackney,Violence Against the Person,Assault with Injury,2,2013,8
E01002002,Haringey,Burglary,Burglary in a Dwelling,1,2010,9
E01004636,Wandsworth,Violence Against the Person,Offensive Weapon,0,2016,9
E01003279,Lewisham,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2012,11
E01000222,Barnet,Burglary,Burglary in a Dwelling,1,2010,4
E01003199,Lewisham,Fraud or Forgery,Other Fraud & Forgery,0,2010,7
E01002440,Hillingdon,Theft and Handling,Other Theft,3,2011,9
E01000795,Bromley,Theft and Handling,Motor Vehicle Interference & Tampering,0,2013,8
E01001542,Enfield,Criminal Damage,Criminal Damage To Other Building,0,2011,9
E01003835,Richmond upon Thames,Theft and Handling,Theft/Taking of Pedal Cycle,0,2011,6
E01002367,Havering,Criminal Damage,Other Criminal Damage,0,2013,3
E01002554,Hillingdon,Robbery,Personal Property,4,2012,1
E01004627,Wandsworth,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,5
E01003199,Lewisham,Criminal Damage,Criminal Damage To Motor Vehicle,2,2008,4
E01000592,Brent,Burglary,Burglary in Other Buildings,0,2015,11
E01001588,Greenwich,Criminal Damage,Criminal Damage To Other Building,0,2013,9
E01002124,Harrow,Other Notifiable Offences,Other Notifiable,0,2010,10
E01000577,Brent,Criminal Damage,Criminal Damage To Motor Vehicle,1,2008,7
E01002071,Haringey,Drugs,Other Drugs,0,2015,5
E01002316,Havering,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,5
E01001741,Hackney,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2009,12
E01001866,Hammersmith and Fulham,Sexual Offences,Other Sexual,0,2015,5
E01001249,Ealing,Criminal Damage,Criminal Damage To Dwelling,1,2011,5
E01000186,Barnet,Violence Against the Person,Assault with Injury,0,2011,5
E01001734,Hackney,Drugs,Possession Of Drugs,4,2013,6
E01003812,Richmond upon Thames,Robbery,Personal Property,0,2008,12
E01003761,Redbridge,Theft and Handling,Theft From Motor Vehicle,0,2012,4
E01000623,Brent,Violence Against the Person,Offensive Weapon,0,2010,5
