E01002033,Haringey,Criminal Damage,Criminal Damage To Other Building,0,2016,8
E01001077,Croydon,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2014,5
E01002572,Hounslow,Burglary,Burglary in a Dwelling,1,2012,1
E01001603,Greenwich,Violence Against the Person,Other violence,0,2010,8
E01002855,Kensington and Chelsea,Criminal Damage,Other Criminal Damage,1,2012,8
E01001662,Greenwich,Violence Against the Person,Assault with Injury,0,2013,10
E01003001,Kingston upon Thames,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,11
E01001720,Hackney,Burglary,Burglary in a Dwelling,1,2010,9
E01002267,Havering,Criminal Damage,Criminal Damage To Other Building,0,2015,4
E01001278,Ealing,Burglary,Burglary in Other Buildings,0,2008,12
E01001442,Enfield,Violence Against the Person,Assault with Injury,0,2013,2
E01002511,Hillingdon,Drugs,Possession Of Drugs,0,2011,6
E01004666,Westminster,Drugs,Possession Of Drugs,3,2016,3
E01001813,Hackney,Violence Against the Person,Other violence,0,2010,2
E01003411,Merton,Violence Against the Person,Assault with Injury,0,2010,3
E01004260,Tower Hamlets,Theft and Handling,Theft From Motor Vehicle,1,2013,9
E01003637,Newham,Theft and Handling,Handling Stolen Goods,0,2012,11
E01002937,Kingston upon Thames,Criminal Damage,Other Criminal Damage,0,2009,10
E01001861,Hammersmith and Fulham,Sexual Offences,Other Sexual,0,2009,11
E01001024,Croydon,Criminal Damage,Other Criminal Damage,0,2010,1
E01000325,Bexley,Other Notifiable Offences,Other Notifiable,0,2015,12
E01002739,Islington,Fraud or Forgery,Counted per Victim,0,2009,2
E01000680,Bromley,Violence Against the Person,Common Assault,0,2008,12
E01003742,Redbridge,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2008,8
E01003314,Lewisham,Robbery,Business Property,0,2008,8
E01004639,Wandsworth,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,2
E01004099,Sutton,Criminal Damage,Criminal Damage To Motor Vehicle,0,2011,10
E01004562,Wandsworth,Burglary,Burglary in Other Buildings,3,2013,4
E01004562,Wandsworth,Other Notifiable Offences,Other Notifiable,0,2016,9
E01002622,Hounslow,Violence Against the Person,Wounding/GBH,0,2009,10
E01004055,Southwark,Violence Against the Person,Assault with Injury,1,2013,2
E01002542,Hillingdon,Theft and Handling,Theft/Taking of Pedal Cycle,0,2012,10
E01001000,Croydon,Theft and Handling,Other Theft Person,0,2013,6
E01001163,Croydon,Other Notifiable Offences,Other Notifiable,1,2014,3
E01003384,Merton,Other Notifiable Offences,Other Notifiable,0,2012,1
E01002954,Kingston upon Thames,Violence Against the Person,Assault with Injury,2,2014,9
E01002516,Hillingdon,Violence Against the Person,Other violence,0,2010,5
E01000576,Brent,Other Notifiable Offences,Other Notifiable,0,2008,11
E01004366,Waltham Forest,Drugs,Possession Of Drugs,0,2014,3
E01004118,Sutton,Violence Against the Person,Other violence,0,2009,2
E01000462,Bexley,Theft and Handling,Other Theft Person,0,2013,8
E01002264,Havering,Drugs,Possession Of Drugs,0,2011,7
E01033579,Newham,Drugs,Drug Trafficking,0,2012,8
E01003786,Redbridge,Criminal Damage,Other Criminal Damage,0,2013,10
E01001078,Croydon,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2013,3
E01004518,Wandsworth,Criminal Damage,Criminal Damage To Motor Vehicle,1,2009,12
E01002061,Haringey,Violence Against the Person,Offensive Weapon,0,2014,3
E01002377,Havering,Theft and Handling,Handling Stolen Goods,0,2015,6
E01032640,Southwark,Violence Against the Person,Common Assault,0,2014,9
E01000900,Camden,Criminal Damage,Criminal Damage To Dwelling,0,2009,9
E01002017,Haringey,Drugs,Possession Of Drugs,2,2008,12
E01000913,Camden,Violence Against the Person,Assault with Injury,5,2014,9
E01001104,Croydon,Violence Against the Person,Common Assault,0,2010,12
E01002994,Kingston upon Thames,Violence Against the Person,Assault with Injury,1,2014,6
E01001051,Croydon,Violence Against the Person,Assault with Injury,1,2010,3
E01004735,Westminster,Theft and Handling,Handling Stolen Goods,0,2011,3
E01001875,Hammersmith and Fulham,Violence Against the Person,Common Assault,1,2016,7
E01000374,Bexley,Criminal Damage,Criminal Damage To Motor Vehicle,3,2009,2
E01002364,Havering,Violence Against the Person,Other violence,0,2013,12
E01002468,Hillingdon,Theft and Handling,Handling Stolen Goods,0,2013,3
E01003588,Newham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2012,8
E01002157,Harrow,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,7
E01004643,Wandsworth,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2008,1
E01004019,Southwark,Violence Against the Person,Offensive Weapon,0,2014,7
