E01033099,Wandsworth,Theft and Handling,Theft From Motor Vehicle,0,2014,11
E01000422,Bexley,Criminal Damage,Other Criminal Damage,0,2011,11
E01004744,Westminster,Theft and Handling,Other Theft,5,2008,5
E01003205,Lewisham,Other Notifiable Offences,Other Notifiable,0,2009,6
E01000043,Barking and Dagenham,Criminal Damage,Other Criminal Damage,0,2016,1
E01004373,Waltham Forest,Robbery,Business Property,0,2010,7
E01003284,Lewisham,Drugs,Drug Trafficking,0,2008,1
E01001302,Ealing,Criminal Damage,Criminal Damage To Motor Vehicle,0,2011,9
E01003343,Lewisham,Violence Against the Person,Common Assault,1,2015,7
E01002378,Havering,Criminal Damage,Other Criminal Damage,0,2010,7
E01003212,Lewisham,Criminal Damage,Criminal Damage To Motor Vehicle,0,2009,2
E01002731,Islington,Violence Against the Person,Offensive Weapon,2,2008,6
E01003249,Lewisham,Violence Against the Person,Other violence,0,2015,1
E01000767,Bromley,Violence Against the Person,Wounding/GBH,0,2016,1
E01002475,Hillingdon,Criminal Damage,Criminal Damage To Dwelling,0,2010,4
E01001192,Croydon,Theft and Handling,Other Theft,2,2010,6
E01001842,Hackney,Other Notifiable Offences,Other Notifiable,1,2013,3
E01002846,Kensington and Chelsea,Criminal Damage,Criminal Damage To Other Building,0,2008,6
E01002562,Hounslow,Theft and Handling,Other Theft Person,0,2015,6
E01003359,Merton,Drugs,Other Drugs,0,2012,7
E01001963,Haringey,Violence Against the Person,Harassment,1,2008,7
E01032744,Ealing,Theft and Handling,Other Theft Person,0,2009,10
E01004266,Tower Hamlets,Violence Against the Person,Murder,0,2014,10
E01004536,Wandsworth,Violence Against the Person,Offensive Weapon,0,2010,12
E01002454,Hillingdon,Violence Against the Person,Offensive Weapon,0,2012,10
E01003901,Richmond upon Thames,Drugs,Possession Of Drugs,0,2008,1
E01001343,Ealing,Violence Against the Person,Assault with Injury,0,2013,4
E01000822,Bromley,Theft and Handling,Other Theft,0,2009,8
E01003245,Lewisham,Criminal Damage,Criminal Damage To Dwelling,1,2012,4
E01004636,Wandsworth,Theft and Handling,Theft From Motor Vehicle,1,2010,1
E01004439,Waltham Forest,Burglary,Burglary in a Dwelling,0,2014,11
E01003307,Lewisham,Theft and Handling,Theft From Shops,0,2016,9
E01001744,Hackney,Violence Against the Person,Wounding/GBH,0,2015,10
E01001793,Hackney,Theft and Handling,Other Theft Person,0,2008,3
E01003115,Lambeth,Theft and Handling,Theft From Motor Vehicle,0,2015,9
E01004206,Tower Hamlets,Violence Against the Person,Offensive Weapon,1,2009,9
E01003673,Redbridge,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,1
E01000577,Brent,Theft and Handling,Other Theft,0,2010,5
E01002487,Hillingdon,Criminal Damage,Criminal Damage To Dwelling,0,2010,11
E01003594,Newham,Theft and Handling,Theft From Motor Vehicle,1,2010,12
E01003971,Southwark,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2010,12
E01003847,Richmond upon Thames,Drugs,Possession Of Drugs,0,2009,8
E01002594,Hounslow,Theft and Handling,Theft From Motor Vehicle,0,2009,9
E01004216,Tower Hamlets,Violence Against the Person,Other violence,0,2010,3
E01003977,Southwark,Criminal Damage,Criminal Damage To Other Building,0,2010,4
E01003860,Richmond upon Thames,Burglary,Burglary in Other Buildings,0,2012,6
E01004155,Sutton,Drugs,Possession Of Drugs,0,2013,6
E01001159,Croydon,Violence Against the Person,Common Assault,1,2009,11
E01003368,Merton,Other Notifiable Offences,Going Equipped,0,2011,11
E01004502,Wandsworth,Criminal Damage,Criminal Damage To Other Building,0,2016,12
E01000116,Barnet,Violence Against the Person,Offensive Weapon,0,2008,4
E01000887,Camden,Theft and Handling,Motor Vehicle Interference & Tampering,0,2008,11
E01004454,Waltham Forest,Robbery,Business Property,0,2013,2
E01002828,Kensington and Chelsea,Violence Against the Person,Common Assault,0,2009,3
E01001269,Ealing,Fraud or Forgery,Counted per Victim,0,2012,9
E01002565,Hounslow,Theft and Handling,Other Theft Person,0,2016,2
E01001789,Hackney,Violence Against the Person,Murder,0,2016,3
E01000027,Barking and Dagenham,Robbery,Personal Property,0,2013,7
E01001883,Hammersmith and Fulham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,6
E01002806,Islington,Burglary,Burglary in a Dwelling,2,2010,11
E01033150,Enfield,Violence Against the Person,Assault with Injury,2,2014,1
E01003938,Southwark,Burglary,Burglary in Other Buildings,0,2014,5
E01000703,Bromley,Burglary,Burglary in Other Buildings,2,2008,7
E01004722,Westminster,Fraud or Forgery,Other Fraud & Forgery,0,2009,11
E01002102,Haringey,Drugs,Drug Trafficking,0,2015,6
E01001984,Haringey,Burglary,Burglary in a Dwelling,2,2015,4
E01004064,Southwark,Violence Against the Person,Common Assault,1,2011,5
E01033710,Hackney,Theft and Handling,Other Theft Person,0,2010,2
E01002494,Hillingdon,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2015,11
E01002536,Hillingdon,Criminal Damage,Criminal Damage To Motor Vehicle,0,2008,4
E01001634,Greenwich,Violence Against the Person,Murder,0,2008,4
E01002969,Kingston upon Thames,Criminal Damage,Criminal Damage To Motor Vehicle,0,2011,4
E01000557,Brent,Criminal Damage,Other Criminal Damage,0,2012,11
E01004563,Wandsworth,Other Notifiable Offences,Going Equipped,0,2016,10
E01004555,Wandsworth,Drugs,Possession Of Drugs,0,2008,5
E01002046,Haringey,Theft and Handling,Motor Vehicle Interference & Tampering,0,2013,8
E01001365,Ealing,Violence Against the Person,Other violence,0,2009,2
E01003449,Merton,Criminal Damage,Criminal Damage To Dwelling,0,2009,1
E01004004,Southwark,Violence Against the Person,Harassment,1,2010,11
E01003712,Redbridge,Violence Against the Person,Harassment,0,2010,1
E01004226,Tower Hamlets,Burglary,Burglary in a Dwelling,1,2008,4
E01001252,Ealing,Violence Against the Person,Offensive Weapon,0,2015,9
E01004421,Waltham Forest,Criminal Damage,Criminal Damage To Other Building,0,2011,10
E01000089,Barking and Dagenham,Criminal Damage,Other Criminal Damage,0,2012,8
E01002872,Kensington and Chelsea,Violence Against the Person,Assault with Injury,3,2015,3
E01001477,Enfield,Drugs,Drug Trafficking,0,2014,2
E01000922,Camden,Other Notifiable Offences,Going Equipped,0,2008,5
E01000347,Bexley,Criminal Damage,Criminal Damage To Motor Vehicle,1,2013,6
E01001372,Ealing,Robbery,Business Property,0,2015,4
