E01002638,Hounslow,Fraud or Forgery,Other Fraud & Forgery,0,2011,11
E01001423,Enfield,Burglary,Burglary in a Dwelling,1,2015,5
E01002386,Havering,Criminal Damage,Criminal Damage To Dwelling,0,2015,3
E01003156,Lambeth,Sexual Offences,Other Sexual,0,2011,11
E01004340,Waltham Forest,Other Notifiable Offences,Going Equipped,0,2008,1
E01004496,Wandsworth,Criminal Damage,Criminal Damage To Other Building,0,2013,11
E01002045,Haringey,Criminal Damage,Other Criminal Damage,0,2008,4
E01004198,Tower Hamlets,Burglary,Burglary in Other Buildings,0,2009,5
E01000487,Brent,Violence Against the Person,Common Assault,1,2016,10
E01002711,Islington,Theft and Handling,Theft/Taking of Pedal Cycle,4,2010,3
E01001897,Hammersmith and Fulham,Other Notifiable Offences,Going Equipped,0,2011,6
E01002818,Kensington and Chelsea,Criminal Damage,Criminal Damage To Dwelling,0,2011,5
E01004312,Tower Hamlets,Violence Against the Person,Assault with Injury,0,2014,7
E01002905,Kensington and Chelsea,Violence Against the Person,Harassment,0,2012,11
E01003437,Merton,Robbery,Personal Property,0,2011,7
E01000327,Bexley,Theft and Handling,Other Theft Person,0,2011,7
E01001868,Hammersmith and Fulham,Burglary,Burglary in Other Buildings,0,2012,3
E01002413,Hillingdon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2013,12
E01001862,Hammersmith and Fulham,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2013,11
E01000949,Camden,Theft and Handling,Theft From Shops,0,2010,9
E01004016,Southwark,Criminal Damage,Other Criminal Damage,1,2016,2
E01003315,Lewisham,Theft and Handling,Other Theft Person,0,2016,2
E01002063,Haringey,Theft and Handling,Theft From Motor Vehicle,5,2010,6
E01000896,Camden,Violence Against the Person,Common Assault,0,2016,7
E01003961,Southwark,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2009,1
E01004446,Waltham Forest,Criminal Damage,Criminal Damage To Other Building,0,2008,10
E01002440,Hillingdon,Theft and Handling,Handling Stolen Goods,0,2014,9
E01002248,Havering,Robbery,Business Property,0,2011,4
E01001102,Croydon,Violence Against the Person,Common Assault,0,2009,5
E01004255,Tower Hamlets,Criminal Damage,Other Criminal Damage,0,2010,11
E01000567,Brent,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,3
E01000659,Bromley,Violence Against the Person,Assault with Injury,1,2009,2
E01004507,Wandsworth,Robbery,Business Property,0,2013,4
E01001524,Enfield,Other Notifiable Offences,Other Notifiable,0,2013,7
E01033708,Hackney,Other Notifiable Offences,Going Equipped,0,2010,3
E01002047,Haringey,Criminal Damage,Criminal Damage To Motor Vehicle,0,2010,7
E01000019,Barking and Dagenham,Violence Against the Person,Assault with Injury,0,2013,12
E01000794,Bromley,Violence Against the Person,Wounding/GBH,0,2011,1
E01002506,Hillingdon,Drugs,Drug Trafficking,0,2010,6
E01000580,Brent,Drugs,Drug Trafficking,0,2016,5
E01001349,Ealing,Theft and Handling,Theft From Motor Vehicle,2,2010,9
E01000860,Camden,Theft and Handling,Handling Stolen Goods,0,2012,9
E01002722,Islington,Violence Against the Person,Harassment,2,2016,6
E01000647,Bromley,Theft and Handling,Motor Vehicle Interference & Tampering,0,2015,9
E01003373,Merton,Other Notifiable Offences,Other Notifiable,0,2015,10
E01004232,Tower Hamlets,Drugs,Other Drugs,0,2011,1
E01000522,Brent,Drugs,Other Drugs,0,2015,8
E01001701,Greenwich,Burglary,Burglary in a Dwelling,0,2015,2
E01002386,Havering,Criminal Damage,Other Criminal Damage,0,2012,2
E01002814,Kensington and Chelsea,Theft and Handling,Other Theft,0,2015,9
E01002677,Hounslow,Burglary,Burglary in a Dwelling,3,2013,11
E01004294,Tower Hamlets,Robbery,Personal Property,0,2013,7
E01002622,Hounslow,Robbery,Business Property,0,2009,11
E01000984,Croydon,Criminal Damage,Criminal Damage To Dwelling,0,2010,12
E01003403,Merton,Criminal Damage,Criminal Damage To Other Building,0,2010,11
E01003452,Merton,Robbery,Personal Property,0,2009,9
E01000121,Barnet,Drugs,Possession Of Drugs,1,2013,10
E01003124,Lambeth,Criminal Damage,Other Criminal Damage,1,2009,12
E01000894,Camden,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2012,12
E01002089,Haringey,Criminal Damage,Criminal Damage To Dwelling,0,2014,9
E01032575,Haringey,Burglary,Burglary in a Dwelling,0,2010,10
E01003521,Newham,Violence Against the Person,Wounding/GBH,2,2015,9
E01000824,Bromley,Sexual Offences,Rape,0,2009,4
E01004243,Tower Hamlets,Drugs,Drug Trafficking,0,2010,5
E01001430,Enfield,Violence Against the Person,Common Assault,0,2008,7
E01000116,Barnet,Violence Against the Person,Other violence,0,2012,3
E01001753,Hackney,Violence Against the Person,Wounding/GBH,0,2009,1
E01001264,Ealing,Fraud or Forgery,Counted per Victim,0,2015,11
E01002094,Haringey,Theft and Handling,Theft From Motor Vehicle,1,2011,4
E01000698,Bromley,Violence Against the Person,Assault with Injury,0,2011,9
E01001078,Croydon,Theft and Handling,Theft From Motor Vehicle,3,2009,12
E01002129,Harrow,Theft and Handling,Theft/Taking of Pedal Cycle,1,2016,6
E01002972,Kingston upon Thames,Drugs,Drug Trafficking,0,2009,6
E01000716,Bromley,Violence Against the Person,Wounding/GBH,0,2008,8
E01001290,Ealing,Burglary,Burglary in a Dwelling,0,2010,7
E01001415,Enfield,Robbery,Personal Property,0,2008,3
E01002862,Kensington and Chelsea,Robbery,Personal Property,0,2012,10
E01003082,Lambeth,Theft and Handling,Handling Stolen Goods,0,2014,1
E01002365,Havering,Theft and Handling,Motor Vehicle Interference & Tampering,0,2013,8
E01000418,Bexley,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,2
E01001582,Greenwich,Drugs,Possession Of Drugs,0,2016,5
E01000975,Croydon,Theft and Handling,Other Theft Person,0,2012,3
E01001315,Ealing,Theft and Handling,Theft From Motor Vehicle,1,2015,4
E01002738,Islington,Theft and Handling,Handling Stolen Goods,0,2008,8
E01003783,Redbridge,Theft and Handling,Theft From Motor Vehicle,2,2012,1
E01000447,Bexley,Theft and Handling,Theft From Shops,0,2010,9
E01003494,Newham,Theft and Handling,Theft/Taking of Pedal Cycle,1,2012,5
E01003562,Newham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,2
E01002145,Harrow,Violence Against the Person,Harassment,0,2015,6
E01000267,Barnet,Theft and Handling,Theft From Motor Vehicle,0,2011,5
E01002224,Harrow,Violence Against the Person,Offensive Weapon,0,2009,11
E01001558,Enfield,Violence Against the Person,Murder,0,2011,6
E01001262,Ealing,Criminal Damage,Criminal Damage To Dwelling,0,2015,5
E01003395,Merton,Burglary,Burglary in a Dwelling,0,2011,12
E01004018,Southwark,Drugs,Drug Trafficking,0,2012,1
E01004698,Westminster,Drugs,Drug Trafficking,0,2012,5
E01000439,Bexley,Violence Against the Person,Assault with Injury,0,2014,8
E01004103,Sutton,Criminal Damage,Other Criminal Damage,0,2012,7
E01002424,Hillingdon,Violence Against the Person,Other violence,0,2008,12
E01001429,Enfield,Fraud or Forgery,Other Fraud & Forgery,0,2014,5
E01001487,Enfield,Violence Against the Person,Harassment,0,2012,6
E01003147,Lambeth,Theft and Handling,Motor Vehicle Interference & Tampering,0,2011,9
E01001445,Enfield,Burglary,Burglary in Other Buildings,0,2011,2
E01001526,Enfield,Theft and Handling,Motor Vehicle Interference & Tampering,0,2011,4
E01000539,Brent,Theft and Handling,Other Theft,0,2014,2
E01003214,Lewisham,Violence Against the Person,Common Assault,1,2009,8
E01002468,Hillingdon,Theft and Handling,Other Theft Person,0,2015,5
E01004305,Tower Hamlets,Drugs,Other Drugs,0,2013,12
E01004392,Waltham Forest,Theft and Handling,Motor Vehicle Interference & Tampering,1,2008,5
E01002227,Harrow,Violence Against the Person,Wounding/GBH,0,2011,3
E01002497,Hillingdon,Violence Against the Person,Other violence,0,2014,8
E01001646,Greenwich,Theft and Handling,Handling Stolen Goods,0,2016,4
E01001434,Enfield,Theft and Handling,Other Theft,1,2009,11
E01004085,Sutton,Violence Against the Person,Wounding/GBH,0,2011,3
E01000298,Barnet,Other Notifiable Offences,Other Notifiable,0,2016,2
E01001737,Hackney,Criminal Damage,Criminal Damage To Motor Vehicle,0,2010,5
E01003184,Lambeth,Theft and Handling,Theft/Taking of Pedal Cycle,0,2013,2
E01003319,Lewisham,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2014,8
E01004724,Westminster,Theft and Handling,Theft From Motor Vehicle,2,2015,7
E01003156,Lambeth,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,3
E01002280,Havering,Theft and Handling,Other Theft,0,2012,6
E01002793,Islington,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2008,1
E01004264,Tower Hamlets,Theft and Handling,Theft From Motor Vehicle,2,2015,3
E01004630,Wandsworth,Theft and Handling,Motor Vehicle Interference & Tampering,0,2013,4
E01001148,Croydon,Other Notifiable Offences,Other Notifiable,0,2009,5
E01001299,Ealing,Drugs,Possession Of Drugs,0,2015,9
E01001125,Croydon,Violence Against the Person,Offensive Weapon,0,2016,4
E01002784,Islington,Sexual Offences,Rape,0,2013,5
E01000065,Barking and Dagenham,Theft and Handling,Other Theft,1,2015,3
E01002431,Hillingdon,Violence Against the Person,Common Assault,1,2009,9
E01004269,Tower Hamlets,Criminal Damage,Criminal Damage To Dwelling,0,2011,6
E01001122,Croydon,Violence Against the Person,Common Assault,0,2009,4
E01000869,Camden,Violence Against the Person,Other violence,0,2015,9
E01004166,Sutton,Drugs,Drug Trafficking,0,2009,1
E01003449,Merton,Robbery,Personal Property,0,2015,1
E01001992,Haringey,Robbery,Business Property,0,2013,10
E01003468,Merton,Theft and Handling,Other Theft Person,0,2016,9
E01001970,Haringey,Theft and Handling,Theft/Taking of Pedal Cycle,0,2008,1
E01004737,Westminster,Drugs,Drug Trafficking,0,2015,7
E01001170,Croydon,Robbery,Business Property,0,2009,5
E01002796,Islington,Robbery,Business Property,0,2011,1
E01000191,Barnet,Criminal Damage,Criminal Damage To Motor Vehicle,1,2011,8
E01033597,Westminster,Robbery,Personal Property,1,2014,2
E01001464,Enfield,Theft and Handling,Other Theft,0,2012,12
E01003435,Merton,Drugs,Drug Trafficking,0,2016,12
E01002393,Hillingdon,Violence Against the Person,Other violence,0,2016,9
