E01001998,Haringey,Violence Against the Person,Common Assault,0,2008,4
E01001427,Enfield,Drugs,Drug Trafficking,0,2010,8
E01002420,Hillingdon,Other Notifiable Offences,Other Notifiable,0,2010,8
E01033735,Greenwich,Drugs,Possession Of Drugs,0,2009,4
E01003195,Lewisham,Robbery,Business Property,0,2009,12
E01001359,Ealing,Criminal Damage,Other Criminal Damage,1,2009,5
E01003016,Lambeth,Drugs,Drug Trafficking,0,2016,3
E01000805,Bromley,Violence Against the Person,Assault with Injury,0,2014,7
E01002789,Islington,Robbery,Business Property,0,2014,7
E01001306,Ealing,Theft and Handling,Theft From Motor Vehicle,0,2008,12
E01000490,Brent,Drugs,Possession Of Drugs,1,2008,2
E01004402,Waltham Forest,Burglary,Burglary in a Dwelling,1,2009,2
E01003397,Merton,Theft and Handling,Other Theft Person,0,2012,3
E01003073,Lambeth,Violence Against the Person,Wounding/GBH,1,2015,2
E01001178,Croydon,Violence Against the Person,Common Assault,1,2011,12
E01003858,Richmond upon Thames,Robbery,Personal Property,0,2013,2
E01000322,Barnet,Drugs,Possession Of Drugs,0,2015,8
E01000315,Barnet,Robbery,Business Property,0,2014,5
E01003538,Newham,Burglary,Burglary in a Dwelling,1,2016,1
E01000845,Camden,Criminal Damage,Criminal Damage To Dwelling,1,2015,1
E01001151,Croydon,Sexual Offences,Rape,0,2013,2
E01003388,Merton,Theft and Handling,Handling Stolen Goods,0,2012,2
E01001760,Hackney,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,6
E01003861,Richmond upon Thames,Criminal Damage,Criminal Damage To Other Building,0,2009,10
E01003462,Merton,Burglary,Burglary in Other Buildings,0,2015,11
E01004010,Southwark,Theft and Handling,Theft From Motor Vehicle,0,2014,3
E01002071,Haringey,Theft and Handling,Handling Stolen Goods,0,2013,7
E01001580,Greenwich,Theft and Handling,Handling Stolen Goods,0,2008,4
E01001705,Greenwich,Drugs,Possession Of Drugs,1,2012,12
E01002091,Haringey,Theft and Handling,Theft From Motor Vehicle,6,2016,12
E01003048,Lambeth,Criminal Damage,Criminal Damage To Motor Vehicle,2,2016,5
E01003341,Lewisham,Drugs,Drug Trafficking,0,2015,9
E01003264,Lewisham,Violence Against the Person,Harassment,1,2015,4
E01003595,Newham,Drugs,Other Drugs,0,2014,3
E01000183,Barnet,Theft and Handling,Motor Vehicle Interference & Tampering,1,2009,11
E01004493,Wandsworth,Violence Against the Person,Assault with Injury,1,2008,2
E01000265,Barnet,Drugs,Possession Of Drugs,0,2008,4
E01002540,Hillingdon,Violence Against the Person,Harassment,3,2012,12
E01004541,Wandsworth,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,1
E01033708,Hackney,Criminal Damage,Criminal Damage To Other Building,1,2012,10
E01000535,Brent,Robbery,Personal Property,0,2013,2
E01004682,Westminster,Violence Against the Person,Harassment,0,2008,1
E01000275,Barnet,Robbery,Personal Property,0,2011,6
E01004091,Sutton,Criminal Damage,Criminal Damage To Dwelling,0,2016,7
E01003519,Newham,Violence Against the Person,Other violence,0,2011,3
E01001048,Croydon,Theft and Handling,Handling Stolen Goods,0,2014,6
E01003596,Newham,Criminal Damage,Other Criminal Damage,0,2014,11
E01002975,Kingston upon Thames,Criminal Damage,Criminal Damage To Motor Vehicle,1,2014,4
