E01004509,Wandsworth,Violence Against the Person,Assault with Injury,0,2016,9
E01004637,Wandsworth,Drugs,Drug Trafficking,0,2016,2
E01033100,Wandsworth,Robbery,Business Property,0,2013,5
E01002645,Hounslow,Violence Against the Person,Assault with Injury,0,2014,6
E01002189,Harrow,Violence Against the Person,Wounding/GBH,0,2010,3
E01004270,Tower Hamlets,Theft and Handling,Theft From Shops,0,2011,7
E01003414,Merton,Criminal Damage,Other Criminal Damage,1,2016,3
E01002196,Harrow,Robbery,Personal Property,0,2016,12
E01000954,Camden,Criminal Damage,Other Criminal Damage,1,2010,9
E01001043,Croydon,Burglary,Burglary in Other Buildings,8,2011,10
E01000052,Barking and Dagenham,Violence Against the Person,Wounding/GBH,0,2016,2
E01004022,Southwark,Drugs,Drug Trafficking,0,2010,6
E01001476,Enfield,Violence Against the Person,Common Assault,0,2010,4
E01004426,Waltham Forest,Violence Against the Person,Assault with Injury,0,2013,1
E01002692,Hounslow,Theft and Handling,Other Theft Person,1,2012,4
E01003616,Newham,Theft and Handling,Theft From Motor Vehicle,2,2009,6
E01001983,Haringey,Violence Against the Person,Offensive Weapon,0,2009,3
E01033586,Newham,Other Notifiable Offences,Other Notifiable,0,2015,4
E01004001,Southwark,Violence Against the Person,Common Assault,1,2011,10
E01003933,Southwark,Theft and Handling,Theft From Motor Vehicle,1,2015,5
E01000558,Brent,Fraud or Forgery,Other Fraud & Forgery,0,2013,5
E01002281,Havering,Criminal Damage,Criminal Damage To Motor Vehicle,1,2013,9
E01003726,Redbridge,Violence Against the Person,Other violence,2,2014,4
E01003386,Merton,Theft and Handling,Theft/Taking of Pedal Cycle,0,2014,1
E01002609,Hounslow,Theft and Handling,Theft From Shops,0,2016,4
E01004632,Wandsworth,Theft and Handling,Theft From Motor Vehicle,0,2012,10
E01000771,Bromley,Violence Against the Person,Common Assault,0,2015,1
E01003046,Lambeth,Violence Against the Person,Harassment,2,2014,9
E01004542,Wandsworth,Theft and Handling,Other Theft Person,0,2010,3
E01002651,Hounslow,Theft and Handling,Other Theft Person,0,2014,9
E01004419,Waltham Forest,Theft and Handling,Other Theft,0,2016,11
E01001748,Hackney,Theft and Handling,Other Theft,12,2016,4
E01004676,Westminster,Drugs,Possession Of Drugs,0,2014,10
E01002354,Havering,Theft and Handling,Handling Stolen Goods,0,2015,4
E01004176,Sutton,Violence Against the Person,Common Assault,0,2008,12
E01003934,Southwark,Other Notifiable Offences,Going Equipped,1,2015,4
E01001666,Greenwich,Criminal Damage,Criminal Damage To Other Building,0,2012,5
E01032775,Tower Hamlets,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2008,8
E01002757,Islington,Theft and Handling,Motor Vehicle Interference & Tampering,1,2011,4
E01003491,Newham,Theft and Handling,Other Theft Person,5,2008,3
E01000713,Bromley,Criminal Damage,Criminal Damage To Other Building,0,2016,7
E01001172,Croydon,Theft and Handling,Other Theft Person,0,2010,6
E01004170,Sutton,Drugs,Drug Trafficking,0,2010,7
E01001232,Ealing,Violence Against the Person,Wounding/GBH,0,2012,11
E01001486,Enfield,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,3
E01004339,Waltham Forest,Drugs,Drug Trafficking,0,2012,10
E01002797,Islington,Theft and Handling,Theft From Motor Vehicle,0,2013,7
E01033082,Hounslow,Theft and Handling,Other Theft Person,0,2008,10
E01004160,Sutton,Criminal Damage,Criminal Damage To Motor Vehicle,0,2015,5
E01003038,Lambeth,Other Notifiable Offences,Other Notifiable,0,2016,3
E01003153,Lambeth,Criminal Damage,Criminal Damage To Motor Vehicle,0,2010,4
E01003112,Lambeth,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,4
E01001124,Croydon,Burglary,Burglary in Other Buildings,1,2013,11
