E01002848,Kensington and Chelsea,Burglary,Burglary in a Dwelling,3,2015,5
E01000447,Bexley,Robbery,Business Property,0,2013,6
E01004331,Waltham Forest,Other Notifiable Offences,Other Notifiable,0,2011,10
E01000386,Bexley,Theft and Handling,Other Theft,1,2016,8
E01001934,Hammersmith and Fulham,Burglary,Burglary in Other Buildings,0,2012,10
E01000572,Brent,Theft and Handling,Other Theft,0,2009,4
E01002803,Islington,Burglary,Burglary in a Dwelling,1,2008,7
E01002442,Hillingdon,Robbery,Personal Property,0,2016,1
E01001089,Croydon,Other Notifiable Offences,Other Notifiable,1,2016,6
E01003549,Newham,Robbery,Business Property,0,2013,9
E01000809,Bromley,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,1
E01003728,Redbridge,Fraud or Forgery,Other Fraud & Forgery,0,2012,12
E01000610,Brent,Violence Against the Person,Other violence,0,2012,4
E01033700,Hackney,Theft and Handling,Theft From Shops,0,2011,2
E01001145,Croydon,Criminal Damage,Criminal Damage To Other Building,0,2015,8
E01002462,Hillingdon,Burglary,Burglary in a Dwelling,4,2016,10
E01002487,Hillingdon,Robbery,Personal Property,1,2014,8
E01001850,Hackney,Drugs,Drug Trafficking,0,2015,12
E01002456,Hillingdon,Fraud or Forgery,Counted per Victim,0,2009,2
E01004410,Waltham Forest,Theft and Handling,Theft From Motor Vehicle,3,2009,12
E01002401,Hillingdon,Robbery,Business Property,0,2008,6
E01003121,Lambeth,Theft and Handling,Other Theft,0,2016,4
E01004104,Sutton,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,9
E01001238,Ealing,Violence Against the Person,Wounding/GBH,1,2013,11
E01003627,Newham,Theft and Handling,Motor Vehicle Interference & Tampering,1,2012,11
E01003181,Lambeth,Fraud or Forgery,Other Fraud & Forgery,0,2009,3
E01004315,Tower Hamlets,Theft and Handling,Theft From Shops,1,2014,4
E01003767,Redbridge,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,1
E01002448,Hillingdon,Violence Against the Person,Other violence,1,2009,12
E01000437,Bexley,Criminal Damage,Criminal Damage To Motor Vehicle,0,2015,6
E01001247,Ealing,Theft and Handling,Theft From Shops,2,2016,9
E01004215,Tower Hamlets,Violence Against the Person,Harassment,0,2010,3
E01000198,Barnet,Drugs,Possession Of Drugs,0,2009,2
E01002107,Harrow,Theft and Handling,Theft/Taking of Pedal Cycle,0,2008,3
E01000541,Brent,Violence Against the Person,Wounding/GBH,0,2014,6
E01000193,Barnet,Other Notifiable Offences,Going Equipped,0,2010,3
E01004248,Tower Hamlets,Drugs,Possession Of Drugs,0,2009,11
E01004676,Westminster,Violence Against the Person,Wounding/GBH,1,2013,8
E01002983,Kingston upon Thames,Theft and Handling,Other Theft Person,0,2013,6
E01001334,Ealing,Theft and Handling,Theft From Shops,0,2016,9
E01003460,Merton,Criminal Damage,Criminal Damage To Other Building,0,2009,10
E01001977,Haringey,Theft and Handling,Other Theft Person,0,2010,2
E01002930,Kingston upon Thames,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2009,2
E01003365,Merton,Criminal Damage,Criminal Damage To Dwelling,0,2009,5
E01000974,Camden,Drugs,Possession Of Drugs,1,2014,1
E01001367,Ealing,Theft and Handling,Theft From Motor Vehicle,4,2008,11
E01001943,Hammersmith and Fulham,Drugs,Other Drugs,0,2012,10
