E01001081,Croydon,Theft and Handling,Other Theft Person,0,2011,6
E01000920,Camden,Violence Against the Person,Common Assault,1,2015,9
E01002433,Hillingdon,Violence Against the Person,Offensive Weapon,0,2010,3
E01004273,Tower Hamlets,Burglary,Burglary in Other Buildings,0,2008,2
E01001718,Hackney,Fraud or Forgery,Counted per Victim,0,2010,3
E01004095,Sutton,Burglary,Burglary in a Dwelling,0,2011,2
E01004154,Sutton,Burglary,Burglary in Other Buildings,0,2008,3
E01001795,Hackney,Violence Against the Person,Wounding/GBH,0,2012,10
E01003056,Lambeth,Violence Against the Person,Other violence,0,2010,12
E01002983,Kingston upon Thames,Violence Against the Person,Other violence,0,2009,3
E01004536,Wandsworth,Criminal Damage,Other Criminal Damage,0,2014,9
E01002267,Havering,Burglary,Burglary in a Dwelling,0,2014,11
E01002937,Kingston upon Thames,Theft and Handling,Theft/Taking of Pedal Cycle,0,2012,10
E01003132,Lambeth,Violence Against the Person,Assault with Injury,0,2015,10
E01001621,Greenwich,Theft and Handling,Theft From Motor Vehicle,1,2013,11
E01000257,Barnet,Theft and Handling,Motor Vehicle Interference & Tampering,0,2013,12
E01003531,Newham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2015,6
E01000945,Camden,Criminal Damage,Other Criminal Damage,1,2010,12
E01032769,Tower Hamlets,Violence Against the Person,Common Assault,0,2016,2
E01002195,Harrow,Criminal Damage,Criminal Damage To Motor Vehicle,0,2009,7
E01004391,Waltham Forest,Theft and Handling,Other Theft Person,0,2008,5
E01003787,Redbridge,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,5
E01004512,Wandsworth,Violence Against the Person,Wounding/GBH,0,2009,10
E01003729,Redbridge,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,8
E01004262,Tower Hamlets,Theft and Handling,Theft/Taking of Pedal Cycle,0,2013,4
E01001859,Hammersmith and Fulham,Drugs,Drug Trafficking,0,2012,7
E01001868,Hammersmith and Fulham,Burglary,Burglary in Other Buildings,0,2010,10
E01000594,Brent,Fraud or Forgery,Other Fraud & Forgery,0,2014,6
E01001796,Hackney,Burglary,Burglary in a Dwelling,1,2012,9
E01004324,Tower Hamlets,Theft and Handling,Theft/Taking of Pedal Cycle,0,2012,2
E01002373,Havering,Burglary,Burglary in Other Buildings,1,2012,5
E01001777,Hackney,Violence Against the Person,Offensive Weapon,0,2013,5
E01003094,Lambeth,Other Notifiable Offences,Going Equipped,0,2009,2
E01002803,Islington,Violence Against the Person,Other violence,0,2009,8
E01004034,Southwark,Burglary,Burglary in Other Buildings,0,2014,12
E01003692,Redbridge,Drugs,Possession Of Drugs,0,2010,5
E01002022,Haringey,Drugs,Drug Trafficking,0,2008,12
E01004627,Wandsworth,Criminal Damage,Criminal Damage To Dwelling,0,2015,7
E01002071,Haringey,Theft and Handling,Theft From Motor Vehicle,0,2014,7
E01000291,Barnet,Criminal Damage,Criminal Damage To Dwelling,0,2009,7
E01002545,Hillingdon,Criminal Damage,Other Criminal Damage,0,2011,12
E01001283,Ealing,Theft and Handling,Theft/Taking of Pedal Cycle,0,2013,1
E01000023,Barking and Dagenham,Theft and Handling,Other Theft Person,0,2011,1
E01002622,Hounslow,Theft and Handling,Handling Stolen Goods,0,2013,1
E01003975,Southwark,Robbery,Business Property,0,2013,8
E01003976,Southwark,Criminal Damage,Other Criminal Damage,1,2014,9
E01002653,Hounslow,Violence Against the Person,Common Assault,1,2010,5
E01001319,Ealing,Theft and Handling,Theft From Motor Vehicle,1,2013,11
E01001716,Hackney,Violence Against the Person,Wounding/GBH,0,2014,12
E01001388,Ealing,Drugs,Other Drugs,0,2011,3
E01033596,Westminster,Violence Against the Person,Other violence,0,2008,5
E01000806,Bromley,Criminal Damage,Other Criminal Damage,0,2010,3
E01001067,Croydon,Burglary,Burglary in Other Buildings,0,2009,5
E01032740,City of London,Theft and Handling,Theft From Shops,0,2012,10
E01001249,Ealing,Theft and Handling,Other Theft,3,2013,11
E01002874,Kensington and Chelsea,Criminal Damage,Criminal Damage To Dwelling,0,2014,3
E01000388,Bexley,Criminal Damage,Criminal Damage To Dwelling,0,2012,7
E01001851,Hammersmith and Fulham,Theft and Handling,Theft From Shops,0,2016,12
E01002051,Haringey,Theft and Handling,Theft From Motor Vehicle,0,2015,7
E01000590,Brent,Criminal Damage,Other Criminal Damage,1,2014,1
E01004370,Waltham Forest,Drugs,Possession Of Drugs,2,2008,12
E01002243,Havering,Burglary,Burglary in Other Buildings,0,2010,3
E01004055,Southwark,Drugs,Possession Of Drugs,0,2008,8
E01001613,Greenwich,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,11
E01002284,Havering,Violence Against the Person,Offensive Weapon,0,2014,9
E01004016,Southwark,Theft and Handling,Theft From Shops,0,2015,8
E01002549,Hillingdon,Criminal Damage,Other Criminal Damage,0,2011,1
E01003780,Redbridge,Theft and Handling,Other Theft Person,0,2015,4
E01003240,Lewisham,Violence Against the Person,Common Assault,5,2010,7
E01002907,Kensington and Chelsea,Theft and Handling,Theft/Taking of Pedal Cycle,0,2010,12
E01001018,Croydon,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2011,7
E01004398,Waltham Forest,Fraud or Forgery,Counted per Victim,0,2013,11
E01002852,Kensington and Chelsea,Other Notifiable Offences,Going Equipped,0,2009,11
E01001659,Greenwich,Burglary,Burglary in Other Buildings,1,2009,5
E01001583,Greenwich,Violence Against the Person,Harassment,1,2014,10
E01002689,Hounslow,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2009,3
E01002482,Hillingdon,Criminal Damage,Criminal Damage To Other Building,0,2009,9
E01000302,Barnet,Drugs,Possession Of Drugs,0,2015,6
E01002044,Haringey,Theft and Handling,Other Theft,1,2013,2
E01002100,Haringey,Burglary,Burglary in a Dwelling,5,2012,7
E01002790,Islington,Theft and Handling,Theft/Taking of Pedal Cycle,4,2015,10
E01002487,Hillingdon,Drugs,Other Drugs,0,2009,11
E01000376,Bexley,Theft and Handling,Theft From Motor Vehicle,0,2015,3
E01003368,Merton,Robbery,Business Property,0,2016,3
E01003195,Lewisham,Drugs,Possession Of Drugs,0,2014,1
E01002362,Havering,Other Notifiable Offences,Other Notifiable,0,2013,8
E01002905,Kensington and Chelsea,Drugs,Other Drugs,0,2013,6
E01001860,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Other Building,1,2008,12
E01003492,Newham,Burglary,Burglary in a Dwelling,1,2013,11
E01002650,Hounslow,Theft and Handling,Other Theft Person,0,2011,1
E01000502,Brent,Violence Against the Person,Offensive Weapon,0,2014,10
E01000369,Bexley,Burglary,Burglary in a Dwelling,5,2009,12
E01003817,Richmond upon Thames,Criminal Damage,Criminal Damage To Other Building,0,2008,9
E01002299,Havering,Theft and Handling,Theft From Motor Vehicle,1,2011,2
E01001041,Croydon,Violence Against the Person,Common Assault,1,2009,10
E01002001,Haringey,Criminal Damage,Criminal Damage To Dwelling,1,2015,11
E01002442,Hillingdon,Criminal Damage,Other Criminal Damage,0,2010,8
E01001760,Hackney,Robbery,Business Property,0,2014,3
E01000741,Bromley,Theft and Handling,Motor Vehicle Interference & Tampering,0,2014,1
E01004403,Waltham Forest,Theft and Handling,Handling Stolen Goods,0,2015,9
E01004654,Westminster,Theft and Handling,Other Theft,5,2016,12
E01004585,Wandsworth,Violence Against the Person,Offensive Weapon,0,2009,10
E01001042,Croydon,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2010,2
E01000429,Bexley,Theft and Handling,Motor Vehicle Interference & Tampering,0,2008,1
E01001220,Ealing,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,7
E01000600,Brent,Theft and Handling,Motor Vehicle Interference & Tampering,0,2008,1
E01001212,Ealing,Violence Against the Person,Other violence,0,2016,9
E01000781,Bromley,Theft and Handling,Handling Stolen Goods,0,2014,6
E01000216,Barnet,Drugs,Possession Of Drugs,0,2013,11
E01004257,Tower Hamlets,Criminal Damage,Criminal Damage To Motor Vehicle,0,2014,4
E01004444,Waltham Forest,Violence Against the Person,Other violence,0,2015,8
E01000759,Bromley,Theft and Handling,Other Theft Person,0,2009,12
E01000457,Bexley,Theft and Handling,Other Theft Person,1,2013,1
E01003333,Lewisham,Violence Against the Person,Assault with Injury,0,2016,12
E01003215,Lewisham,Other Notifiable Offences,Other Notifiable,0,2009,12
E01001222,Ealing,Violence Against the Person,Common Assault,1,2013,5
E01002300,Havering,Criminal Damage,Criminal Damage To Motor Vehicle,1,2010,3
E01000214,Barnet,Theft and Handling,Theft From Motor Vehicle,1,2010,6
E01000813,Bromley,Burglary,Burglary in Other Buildings,0,2013,1
E01004161,Sutton,Violence Against the Person,Harassment,0,2012,1
E01001162,Croydon,Violence Against the Person,Assault with Injury,0,2010,1
E01000436,Bexley,Robbery,Business Property,0,2012,7
E01004290,Tower Hamlets,Drugs,Possession Of Drugs,0,2012,8
E01001896,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Dwelling,0,2016,3
E01003135,Lambeth,Violence Against the Person,Wounding/GBH,0,2012,10
E01003764,Redbridge,Burglary,Burglary in a Dwelling,1,2014,6
E01002691,Hounslow,Violence Against the Person,Assault with Injury,0,2014,12
E01004442,Waltham Forest,Criminal Damage,Criminal Damage To Motor Vehicle,1,2015,1
E01004736,Westminster,Criminal Damage,Criminal Damage To Dwelling,0,2012,5
E01002535,Hillingdon,Theft and Handling,Theft/Taking of Pedal Cycle,1,2009,11
E01003068,Lambeth,Criminal Damage,Other Criminal Damage,0,2008,11
E01003834,Richmond upon Thames,Theft and Handling,Theft From Shops,0,2010,3
E01003664,Redbridge,Violence Against the Person,Offensive Weapon,0,2015,9
E01001110,Croydon,Drugs,Drug Trafficking,0,2015,12
E01004477,Wandsworth,Violence Against the Person,Common Assault,0,2016,5
E01000603,Brent,Theft and Handling,Other Theft Person,0,2014,4
E01003452,Merton,Violence Against the Person,Other violence,0,2016,3
E01004482,Wandsworth,Theft and Handling,Theft From Shops,0,2015,5
E01002930,Kingston upon Thames,Other Notifiable Offences,Going Equipped,0,2014,9
E01001552,Enfield,Theft and Handling,Theft/Taking of Pedal Cycle,1,2015,12
E01004023,Southwark,Burglary,Burglary in a Dwelling,1,2010,5
E01004517,Wandsworth,Violence Against the Person,Harassment,0,2014,7
E01004702,Westminster,Drugs,Possession Of Drugs,10,2013,8
E01002113,Harrow,Violence Against the Person,Assault with Injury,0,2014,3
E01000509,Brent,Violence Against the Person,Wounding/GBH,0,2010,5
E01004548,Wandsworth,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2015,10
E01002490,Hillingdon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2008,4
E01003380,Merton,Theft and Handling,Other Theft,0,2012,10
E01002278,Havering,Theft and Handling,Other Theft Person,0,2012,12
E01002232,Harrow,Criminal Damage,Criminal Damage To Motor Vehicle,1,2010,9
E01003036,Lambeth,Burglary,Burglary in a Dwelling,2,2015,5
E01000581,Brent,Theft and Handling,Theft From Shops,0,2012,2
E01002404,Hillingdon,Drugs,Other Drugs,0,2015,8
E01000130,Barnet,Robbery,Business Property,0,2012,9
E01002109,Harrow,Theft and Handling,Other Theft,1,2013,12
E01033699,Hackney,Violence Against the Person,Offensive Weapon,0,2009,7
E01004580,Wandsworth,Fraud or Forgery,Other Fraud & Forgery,0,2013,8
E01002372,Havering,Robbery,Personal Property,0,2010,6
E01004344,Waltham Forest,Theft and Handling,Theft/Taking of Pedal Cycle,0,2012,9
E01002895,Kensington and Chelsea,Drugs,Drug Trafficking,0,2013,3
E01000477,Brent,Violence Against the Person,Harassment,0,2009,8
E01004455,Waltham Forest,Criminal Damage,Criminal Damage To Dwelling,0,2016,10
E01000389,Bexley,Violence Against the Person,Offensive Weapon,0,2011,1
E01003238,Lewisham,Drugs,Drug Trafficking,0,2013,10
E01002649,Hounslow,Robbery,Personal Property,0,2010,10
E01001873,Hammersmith and Fulham,Other Notifiable Offences,Other Notifiable,0,2011,10
E01002417,Hillingdon,Criminal Damage,Criminal Damage To Dwelling,0,2010,4
E01003530,Newham,Theft and Handling,Handling Stolen Goods,0,2015,3
E01033151,Enfield,Robbery,Business Property,0,2016,7
E01004186,Sutton,Drugs,Drug Trafficking,0,2010,10
E01004706,Westminster,Drugs,Possession Of Drugs,0,2011,1
E01003887,Richmond upon Thames,Drugs,Drug Trafficking,1,2015,9
E01003278,Lewisham,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,2
E01002999,Kingston upon Thames,Burglary,Burglary in a Dwelling,0,2010,8
E01001359,Ealing,Criminal Damage,Criminal Damage To Other Building,0,2013,7
E01001309,Ealing,Sexual Offences,Rape,0,2014,6
E01004537,Wandsworth,Drugs,Possession Of Drugs,4,2009,3
E01001470,Enfield,Burglary,Burglary in a Dwelling,1,2016,3
E01003252,Lewisham,Criminal Damage,Criminal Damage To Motor Vehicle,1,2016,4
E01003074,Lambeth,Theft and Handling,Theft/Taking of Pedal Cycle,2,2016,12
E01033592,Redbridge,Drugs,Drug Trafficking,0,2011,9
E01004740,Westminster,Theft and Handling,Other Theft,0,2014,11
E01000880,Camden,Burglary,Burglary in Other Buildings,0,2011,8
E01002156,Harrow,Violence Against the Person,Wounding/GBH,0,2009,3
E01002733,Islington,Theft and Handling,Theft From Shops,0,2015,1
E01000198,Barnet,Violence Against the Person,Wounding/GBH,0,2008,11
E01004424,Waltham Forest,Criminal Damage,Criminal Damage To Other Building,1,2010,8
E01003545,Newham,Theft and Handling,Theft From Shops,0,2010,11
E01000934,Camden,Theft and Handling,Other Theft,1,2013,6
E01001978,Haringey,Theft and Handling,Theft From Motor Vehicle,2,2014,1
E01004230,Tower Hamlets,Criminal Damage,Criminal Damage To Other Building,0,2012,7
E01001424,Enfield,Theft and Handling,Theft From Motor Vehicle,0,2010,1
E01001525,Enfield,Violence Against the Person,Harassment,0,2011,1
E01000401,Bexley,Theft and Handling,Theft From Motor Vehicle,2,2014,4
E01001152,Croydon,Robbery,Personal Property,1,2015,3
E01003819,Richmond upon Thames,Other Notifiable Offences,Other Notifiable,0,2014,1
E01000739,Bromley,Violence Against the Person,Harassment,3,2009,6
E01002049,Haringey,Other Notifiable Offences,Going Equipped,0,2010,3
E01000162,Barnet,Violence Against the Person,Harassment,0,2012,2
E01000435,Bexley,Criminal Damage,Other Criminal Damage,0,2013,1
E01004367,Waltham Forest,Violence Against the Person,Harassment,0,2014,12
E01002862,Kensington and Chelsea,Theft and Handling,Handling Stolen Goods,0,2012,7
E01001719,Hackney,Violence Against the Person,Wounding/GBH,0,2013,8
E01000854,Camden,Other Notifiable Offences,Going Equipped,0,2016,12
E01002076,Haringey,Theft and Handling,Other Theft Person,0,2014,2
E01002871,Kensington and Chelsea,Violence Against the Person,Other violence,0,2012,5
E01000435,Bexley,Criminal Damage,Other Criminal Damage,0,2016,1
E01003053,Lambeth,Theft and Handling,Other Theft Person,1,2015,7
E01002208,Harrow,Theft and Handling,Theft From Motor Vehicle,1,2016,5
E01001270,Ealing,Violence Against the Person,Other violence,0,2011,2
E01002942,Kingston upon Thames,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,11
E01004452,Waltham Forest,Theft and Handling,Theft From Motor Vehicle,3,2010,10
E01000674,Bromley,Criminal Damage,Criminal Damage To Dwelling,0,2008,8
E01003785,Redbridge,Theft and Handling,Handling Stolen Goods,0,2015,1
E01000532,Brent,Violence Against the Person,Other violence,1,2008,7
E01002900,Kensington and Chelsea,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2010,3
E01000795,Bromley,Violence Against the Person,Common Assault,1,2016,2
E01000742,Bromley,Theft and Handling,Handling Stolen Goods,0,2013,11
E01000069,Barking and Dagenham,Theft and Handling,Other Theft Person,0,2015,10
E01004053,Southwark,Violence Against the Person,Harassment,0,2013,8
E01032779,Tower Hamlets,Drugs,Drug Trafficking,0,2013,1
E01002556,Hounslow,Theft and Handling,Motor Vehicle Interference & Tampering,0,2014,1
E01002472,Hillingdon,Violence Against the Person,Harassment,1,2009,11
E01003033,Lambeth,Theft and Handling,Handling Stolen Goods,0,2008,10
E01000955,Camden,Drugs,Drug Trafficking,1,2012,3
E01001881,Hammersmith and Fulham,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2012,12
E01003248,Lewisham,Criminal Damage,Other Criminal Damage,0,2013,10
E01002520,Hillingdon,Drugs,Possession Of Drugs,1,2012,6
E01003630,Newham,Theft and Handling,Other Theft Person,0,2013,6
E01032646,Southwark,Criminal Damage,Criminal Damage To Other Building,1,2015,7
E01003948,Southwark,Fraud or Forgery,Counted per Victim,0,2008,9
E01002465,Hillingdon,Robbery,Business Property,0,2015,4
E01001650,Greenwich,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,11
E01000559,Brent,Robbery,Personal Property,1,2008,3
E01002087,Haringey,Fraud or Forgery,Counted per Victim,0,2010,12
E01003314,Lewisham,Violence Against the Person,Other violence,0,2011,2
E01001980,Haringey,Robbery,Personal Property,0,2010,8
E01004001,Southwark,Robbery,Personal Property,0,2014,8
E01033710,Hackney,Violence Against the Person,Common Assault,0,2011,8
E01004143,Sutton,Other Notifiable Offences,Other Notifiable,0,2014,11
E01001223,Ealing,Robbery,Personal Property,1,2016,4
E01003807,Richmond upon Thames,Other Notifiable Offences,Going Equipped,0,2009,6
