E01003719,Redbridge,Other Notifiable Offences,Other Notifiable,0,2009,9
E01001699,Greenwich,Drugs,Possession Of Drugs,0,2014,8
E01001268,Ealing,Violence Against the Person,Offensive Weapon,0,2012,11
E01003074,Lambeth,Theft and Handling,Theft From Motor Vehicle,5,2015,1
E01002735,Islington,Theft and Handling,Theft From Shops,1,2016,11
E01003733,Redbridge,Drugs,Other Drugs,0,2014,10
E01001295,Ealing,Other Notifiable Offences,Going Equipped,0,2016,4
E01003664,Redbridge,Violence Against the Person,Offensive Weapon,0,2013,2
E01000902,Camden,Criminal Damage,Criminal Damage To Other Building,0,2014,8
E01003805,Richmond upon Thames,Theft and Handling,Handling Stolen Goods,0,2016,2
E01002326,Havering,Theft and Handling,Theft/Taking of Pedal Cycle,1,2011,1
E01003001,Kingston upon Thames,Criminal Damage,Other Criminal Damage,0,2008,3
E01033588,Barking and Dagenham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2008,4
E01004141,Sutton,Violence Against the Person,Assault with Injury,0,2011,10
E01002574,Hounslow,Criminal Damage,Criminal Damage To Other Building,0,2012,9
E01003155,Lambeth,Violence Against the Person,Offensive Weapon,0,2015,2
E01000573,Brent,Burglary,Burglary in Other Buildings,0,2010,4
E01001237,Ealing,Theft and Handling,Theft/Taking of Pedal Cycle,2,2012,3
E01003571,Newham,Violence Against the Person,Offensive Weapon,0,2010,9
E01003171,Lambeth,Theft and Handling,Other Theft,1,2012,8
E01000029,Barking and Dagenham,Burglary,Burglary in Other Buildings,0,2015,5
E01001610,Greenwich,Theft and Handling,Other Theft Person,0,2012,8
E01000708,Bromley,Burglary,Burglary in a Dwelling,0,2015,2
E01000299,Barnet,Robbery,Personal Property,0,2016,8
E01032803,Southwark,Theft and Handling,Other Theft Person,1,2016,6
E01001686,Greenwich,Violence Against the Person,Assault with Injury,1,2016,9
E01003047,Lambeth,Other Notifiable Offences,Going Equipped,0,2014,7
E01001715,Hackney,Other Notifiable Offences,Other Notifiable,0,2013,5
E01004010,Southwark,Violence Against the Person,Assault with Injury,5,2011,4
E01002354,Havering,Drugs,Drug Trafficking,0,2011,6
E01000593,Brent,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,2
E01002852,Kensington and Chelsea,Criminal Damage,Criminal Damage To Other Building,0,2011,5
E01003473,Merton,Violence Against the Person,Offensive Weapon,0,2016,11
E01001411,Enfield,Criminal Damage,Criminal Damage To Dwelling,0,2010,3
E01003878,Richmond upon Thames,Drugs,Possession Of Drugs,7,2011,6
E01000862,Camden,Drugs,Other Drugs,0,2010,9
E01000946,Camden,Violence Against the Person,Common Assault,0,2013,7
E01002164,Harrow,Drugs,Drug Trafficking,0,2010,9
E01000521,Brent,Criminal Damage,Criminal Damage To Motor Vehicle,1,2008,9
E01004650,Westminster,Criminal Damage,Criminal Damage To Other Building,0,2010,12
E01033739,Greenwich,Theft and Handling,Other Theft Person,0,2011,5
E01000879,Camden,Theft and Handling,Theft/Taking of Pedal Cycle,1,2010,6
E01002806,Islington,Theft and Handling,Theft/Taking of Pedal Cycle,0,2012,5
E01001631,Greenwich,Drugs,Other Drugs,0,2014,5
E01003615,Newham,Violence Against the Person,Harassment,1,2011,10
E01001513,Enfield,Theft and Handling,Theft/Taking Of Motor Vehicle,2,2008,11
E01002010,Haringey,Drugs,Possession Of Drugs,0,2008,7
E01002889,Kensington and Chelsea,Theft and Handling,Other Theft,15,2012,4
E01004206,Tower Hamlets,Burglary,Burglary in a Dwelling,1,2008,7
E01002424,Hillingdon,Theft and Handling,Other Theft,1,2011,12
E01003812,Richmond upon Thames,Drugs,Drug Trafficking,0,2015,3
E01033587,Barking and Dagenham,Drugs,Drug Trafficking,0,2015,2
E01001106,Croydon,Criminal Damage,Other Criminal Damage,0,2011,6
E01002275,Havering,Other Notifiable Offences,Other Notifiable,0,2013,7
E01001349,Ealing,Drugs,Other Drugs,0,2015,12
E01001579,Greenwich,Criminal Damage,Other Criminal Damage,0,2016,7
E01004374,Waltham Forest,Criminal Damage,Other Criminal Damage,0,2016,1
E01033575,Newham,Criminal Damage,Criminal Damage To Other Building,0,2016,3
E01033100,Wandsworth,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,6
E01002475,Hillingdon,Theft and Handling,Other Theft,2,2012,9
E01000266,Barnet,Theft and Handling,Other Theft Person,0,2010,4
E01033707,Hackney,Robbery,Personal Property,1,2013,12
E01032565,Lewisham,Violence Against the Person,Offensive Weapon,0,2011,12
E01000277,Barnet,Violence Against the Person,Wounding/GBH,0,2012,5
E01002385,Havering,Theft and Handling,Theft/Taking of Pedal Cycle,0,2015,9
E01002462,Hillingdon,Burglary,Burglary in a Dwelling,1,2010,11
E01001409,Enfield,Drugs,Drug Trafficking,0,2008,12
E01003217,Lewisham,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2014,1
E01004582,Wandsworth,Violence Against the Person,Other violence,0,2008,6
E01001014,Croydon,Sexual Offences,Other Sexual,0,2012,1
E01001623,Greenwich,Violence Against the Person,Offensive Weapon,0,2008,9
E01003763,Redbridge,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2008,10
E01000922,Camden,Violence Against the Person,Other violence,0,2016,5
E01000257,Barnet,Fraud or Forgery,Counted per Victim,0,2015,7
E01001251,Ealing,Criminal Damage,Criminal Damage To Other Building,0,2015,6
E01002137,Harrow,Burglary,Burglary in Other Buildings,1,2008,3
E01000605,Brent,Theft and Handling,Theft/Taking of Pedal Cycle,0,2008,2
E01001396,Enfield,Theft and Handling,Theft From Motor Vehicle,0,2012,7
E01002065,Haringey,Other Notifiable Offences,Other Notifiable,0,2016,9
E01003750,Redbridge,Robbery,Personal Property,3,2010,11
E01000096,Barking and Dagenham,Violence Against the Person,Other violence,0,2016,12
E01003380,Merton,Burglary,Burglary in Other Buildings,0,2016,10
E01003059,Lambeth,Robbery,Business Property,0,2008,4
E01004588,Wandsworth,Violence Against the Person,Offensive Weapon,0,2009,3
E01000025,Barking and Dagenham,Robbery,Personal Property,0,2015,10
E01000956,Camden,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,5
E01003345,Lewisham,Violence Against the Person,Other violence,0,2009,1
E01001315,Ealing,Theft and Handling,Theft From Shops,0,2009,7
E01000386,Bexley,Violence Against the Person,Offensive Weapon,0,2016,3
E01001213,Ealing,Violence Against the Person,Common Assault,1,2015,7
E01003603,Newham,Violence Against the Person,Assault with Injury,2,2016,7
E01000722,Bromley,Violence Against the Person,Assault with Injury,1,2016,8
E01002666,Hounslow,Violence Against the Person,Wounding/GBH,0,2011,10
E01000711,Bromley,Sexual Offences,Other Sexual,0,2009,8
