E01003241,Lewisham,Drugs,Drug Trafficking,0,2013,11
E01003953,Southwark,Robbery,Business Property,0,2015,12
E01001364,Ealing,Drugs,Other Drugs,0,2014,10
E01002025,Haringey,Drugs,Drug Trafficking,0,2008,12
E01001956,Hammersmith and Fulham,Drugs,Drug Trafficking,0,2010,2
E01000450,Bexley,Other Notifiable Offences,Going Equipped,0,2010,9
E01000599,Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2011,3
E01003660,Redbridge,Violence Against the Person,Assault with Injury,0,2016,9
E01001240,Ealing,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,10
E01004372,Waltham Forest,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2011,8
E01000040,Barking and Dagenham,Violence Against the Person,Assault with Injury,3,2011,4
E01003436,Merton,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,11
E01002433,Hillingdon,Violence Against the Person,Offensive Weapon,0,2009,2
E01001356,Ealing,Violence Against the Person,Offensive Weapon,0,2013,9
E01002960,Kingston upon Thames,Theft and Handling,Theft/Taking of Pedal Cycle,0,2015,7
E01002835,Kensington and Chelsea,Theft and Handling,Theft From Motor Vehicle,5,2011,5
E01001261,Ealing,Violence Against the Person,Common Assault,2,2011,8
E01004488,Wandsworth,Violence Against the Person,Offensive Weapon,0,2015,10
E01003126,Lambeth,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2008,3
E01004396,Waltham Forest,Criminal Damage,Criminal Damage To Dwelling,0,2012,8
E01000538,Brent,Violence Against the Person,Harassment,0,2012,12
E01032739,City of London,Criminal Damage,Criminal Damage To Motor Vehicle,1,2014,11
E01002048,Haringey,Violence Against the Person,Murder,0,2009,2
E01003888,Richmond upon Thames,Theft and Handling,Theft From Shops,5,2014,12
E01000252,Barnet,Violence Against the Person,Wounding/GBH,0,2010,1
E01002068,Haringey,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2014,2
E01004707,Westminster,Theft and Handling,Other Theft Person,0,2011,8
E01001049,Croydon,Other Notifiable Offences,Other Notifiable,0,2015,9
E01032567,Greenwich,Other Notifiable Offences,Going Equipped,0,2008,9
E01000255,Barnet,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,6
E01002898,Kensington and Chelsea,Other Notifiable Offences,Going Equipped,0,2016,4
E01002066,Haringey,Other Notifiable Offences,Other Notifiable,0,2015,11
E01003470,Merton,Theft and Handling,Theft From Shops,1,2016,10
E01002212,Harrow,Burglary,Burglary in Other Buildings,0,2014,11
E01001107,Croydon,Violence Against the Person,Assault with Injury,0,2010,10
E01000853,Camden,Violence Against the Person,Wounding/GBH,0,2014,6
E01002331,Havering,Violence Against the Person,Other violence,0,2013,5
E01000815,Bromley,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2013,5
E01004275,Tower Hamlets,Violence Against the Person,Other violence,0,2011,3
E01002105,Haringey,Theft and Handling,Motor Vehicle Interference & Tampering,0,2015,11
E01004466,Waltham Forest,Criminal Damage,Other Criminal Damage,0,2015,12
E01002176,Harrow,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2013,12
E01000348,Bexley,Criminal Damage,Criminal Damage To Other Building,0,2008,7
E01004072,Southwark,Other Notifiable Offences,Going Equipped,0,2012,3
E01002364,Havering,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2011,2
E01003261,Lewisham,Drugs,Possession Of Drugs,0,2014,5
E01004063,Southwark,Criminal Damage,Criminal Damage To Other Building,0,2014,9
E01033601,Westminster,Theft and Handling,Theft/Taking of Pedal Cycle,0,2012,11
E01003192,Lewisham,Violence Against the Person,Common Assault,1,2009,10
E01003916,Southwark,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,10
E01001672,Greenwich,Criminal Damage,Other Criminal Damage,0,2012,11
E01003231,Lewisham,Burglary,Burglary in a Dwelling,0,2008,8
E01033100,Wandsworth,Robbery,Personal Property,0,2008,4
E01001746,Hackney,Sexual Offences,Other Sexual,0,2015,8
E01000783,Bromley,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2009,12
E01003250,Lewisham,Criminal Damage,Criminal Damage To Motor Vehicle,0,2008,1
E01002262,Havering,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2009,1
E01001705,Greenwich,Robbery,Personal Property,1,2012,12
E01003453,Merton,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,1
E01001872,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Dwelling,0,2014,7
E01003452,Merton,Theft and Handling,Other Theft Person,1,2015,12
E01001310,Ealing,Violence Against the Person,Assault with Injury,0,2016,4
E01004393,Waltham Forest,Sexual Offences,Other Sexual,0,2011,8
E01003219,Lewisham,Violence Against the Person,Common Assault,1,2009,5
E01001682,Greenwich,Burglary,Burglary in Other Buildings,1,2014,1
E01003199,Lewisham,Violence Against the Person,Offensive Weapon,1,2008,2
E01001934,Hammersmith and Fulham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2012,12
E01001053,Croydon,Criminal Damage,Criminal Damage To Motor Vehicle,1,2012,11
E01033099,Wandsworth,Theft and Handling,Handling Stolen Goods,0,2011,1
E01001683,Greenwich,Theft and Handling,Theft From Motor Vehicle,0,2009,10
E01001299,Ealing,Theft and Handling,Theft From Motor Vehicle,6,2013,2
E01000744,Bromley,Other Notifiable Offences,Other Notifiable,0,2011,8
E01000763,Bromley,Theft and Handling,Other Theft,5,2012,1
E01003170,Lambeth,Theft and Handling,Other Theft Person,0,2009,12
E01001632,Greenwich,Violence Against the Person,Harassment,1,2013,4
E01001159,Croydon,Theft and Handling,Other Theft,1,2014,4
E01001442,Enfield,Drugs,Other Drugs,0,2008,9
E01003416,Merton,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2013,8
E01003026,Lambeth,Violence Against the Person,Common Assault,2,2010,8
E01004380,Waltham Forest,Theft and Handling,Other Theft,0,2008,9
E01001301,Ealing,Violence Against the Person,Wounding/GBH,1,2013,7
E01003160,Lambeth,Criminal Damage,Criminal Damage To Motor Vehicle,1,2016,8
E01001213,Ealing,Violence Against the Person,Offensive Weapon,0,2013,11
E01003389,Merton,Theft and Handling,Theft/Taking of Pedal Cycle,1,2008,11
E01000958,Camden,Criminal Damage,Criminal Damage To Motor Vehicle,0,2011,1
E01004268,Tower Hamlets,Criminal Damage,Criminal Damage To Motor Vehicle,0,2011,1
E01001841,Hackney,Theft and Handling,Theft/Taking of Pedal Cycle,0,2010,2
E01001044,Croydon,Violence Against the Person,Assault with Injury,0,2016,7
E01004684,Westminster,Violence Against the Person,Offensive Weapon,0,2015,2
E01002766,Islington,Theft and Handling,Theft From Motor Vehicle,1,2013,4
E01002328,Havering,Burglary,Burglary in Other Buildings,0,2012,10
E01002288,Havering,Violence Against the Person,Harassment,0,2014,5
E01032513,Westminster,Violence Against the Person,Other violence,0,2010,10
E01001435,Enfield,Violence Against the Person,Common Assault,0,2013,7
E01004597,Wandsworth,Criminal Damage,Criminal Damage To Other Building,0,2016,4
E01002481,Hillingdon,Violence Against the Person,Offensive Weapon,0,2015,6
E01002022,Haringey,Other Notifiable Offences,Other Notifiable,0,2016,4
E01001768,Hackney,Violence Against the Person,Common Assault,0,2015,6
E01003841,Richmond upon Thames,Sexual Offences,Other Sexual,0,2011,2
E01001522,Enfield,Criminal Damage,Criminal Damage To Motor Vehicle,1,2015,8
E01000726,Bromley,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2012,5
E01001106,Croydon,Violence Against the Person,Harassment,0,2016,3
E01000027,Barking and Dagenham,Burglary,Burglary in Other Buildings,1,2012,6
E01000333,Bexley,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2012,12
E01001735,Hackney,Burglary,Burglary in a Dwelling,0,2008,9
E01003803,Richmond upon Thames,Other Notifiable Offences,Other Notifiable,0,2012,3
E01000241,Barnet,Violence Against the Person,Other violence,0,2016,9
E01000121,Barnet,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,11
E01003731,Redbridge,Theft and Handling,Theft From Motor Vehicle,0,2016,2
E01002122,Harrow,Violence Against the Person,Harassment,1,2015,3
E01002015,Haringey,Drugs,Drug Trafficking,0,2014,3
E01001892,Hammersmith and Fulham,Other Notifiable Offences,Other Notifiable,0,2016,2
E01004386,Waltham Forest,Criminal Damage,Criminal Damage To Dwelling,0,2011,8
E01004183,Sutton,Drugs,Possession Of Drugs,0,2009,8
E01001858,Hammersmith and Fulham,Theft and Handling,Theft From Motor Vehicle,1,2010,7
E01001523,Enfield,Other Notifiable Offences,Going Equipped,0,2009,12
E01004434,Waltham Forest,Violence Against the Person,Offensive Weapon,0,2010,8
E01002912,Kensington and Chelsea,Theft and Handling,Theft From Motor Vehicle,0,2014,6
E01002286,Havering,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,1
E01003003,Kingston upon Thames,Burglary,Burglary in Other Buildings,0,2008,9
E01002803,Islington,Drugs,Drug Trafficking,0,2009,4
E01003701,Redbridge,Theft and Handling,Other Theft,4,2016,2
E01001833,Hackney,Violence Against the Person,Assault with Injury,2,2010,8
E01000954,Camden,Drugs,Drug Trafficking,1,2016,3
E01002634,Hounslow,Violence Against the Person,Harassment,2,2016,8
E01004102,Sutton,Violence Against the Person,Wounding/GBH,0,2008,1
E01001250,Ealing,Drugs,Other Drugs,0,2016,4
E01003615,Newham,Criminal Damage,Criminal Damage To Dwelling,1,2014,12
E01002776,Islington,Theft and Handling,Handling Stolen Goods,0,2008,11
E01001895,Hammersmith and Fulham,Burglary,Burglary in a Dwelling,1,2010,12
E01002123,Harrow,Theft and Handling,Handling Stolen Goods,0,2011,3
E01002301,Havering,Theft and Handling,Theft From Motor Vehicle,0,2016,11
E01001428,Enfield,Violence Against the Person,Harassment,0,2011,4
E01004104,Sutton,Violence Against the Person,Assault with Injury,0,2015,4
E01003118,Lambeth,Fraud or Forgery,Other Fraud & Forgery,0,2016,4
E01002019,Haringey,Violence Against the Person,Wounding/GBH,0,2009,2
E01004529,Wandsworth,Theft and Handling,Other Theft,1,2016,5
E01001465,Enfield,Other Notifiable Offences,Going Equipped,0,2015,6
E01002684,Hounslow,Theft and Handling,Theft/Taking of Pedal Cycle,2,2012,9
E01003994,Southwark,Other Notifiable Offences,Other Notifiable,1,2012,7
E01002759,Islington,Theft and Handling,Theft/Taking of Pedal Cycle,0,2011,4
E01004727,Westminster,Violence Against the Person,Wounding/GBH,0,2008,9
E01004612,Wandsworth,Violence Against the Person,Assault with Injury,0,2013,8
E01002313,Havering,Violence Against the Person,Assault with Injury,1,2016,7
E01003632,Newham,Other Notifiable Offences,Going Equipped,0,2012,2
E01033456,Brent,Theft and Handling,Motor Vehicle Interference & Tampering,0,2014,6
E01004406,Waltham Forest,Criminal Damage,Criminal Damage To Motor Vehicle,1,2015,7
E01002730,Islington,Drugs,Possession Of Drugs,7,2008,5
E01000787,Bromley,Violence Against the Person,Common Assault,3,2010,1
E01002272,Havering,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2013,7
