E01001732,Hackney,Criminal Damage,Other Criminal Damage,0,2015,2
E01000972,Camden,Fraud or Forgery,Other Fraud & Forgery,0,2012,6
E01001993,Haringey,Sexual Offences,Other Sexual,0,2015,7
E01000219,Barnet,Burglary,Burglary in a Dwelling,1,2012,2
E01004191,Sutton,Violence Against the Person,Assault with Injury,2,2014,6
E01004507,Wandsworth,Violence Against the Person,Other violence,0,2014,10
E01001062,Croydon,Violence Against the Person,Common Assault,0,2016,1
E01000377,Bexley,Violence Against the Person,Common Assault,0,2013,7
E01000945,Camden,Other Notifiable Offences,Going Equipped,0,2009,8
E01000520,Brent,Violence Against the Person,Common Assault,0,2015,10
E01001757,Hackney,Burglary,Burglary in a Dwelling,0,2010,11
E01002956,Kingston upon Thames,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,7
E01001850,Hackney,Theft and Handling,Theft/Taking of Pedal Cycle,0,2013,4
E01000159,Barnet,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2012,4
E01002065,Haringey,Violence Against the Person,Wounding/GBH,0,2016,9
E01002142,Harrow,Criminal Damage,Criminal Damage To Motor Vehicle,0,2012,3
E01003001,Kingston upon Thames,Criminal Damage,Criminal Damage To Dwelling,0,2014,4
E01002348,Havering,Criminal Damage,Criminal Damage To Dwelling,0,2011,7
E01000394,Bexley,Criminal Damage,Other Criminal Damage,0,2016,7
E01001950,Hammersmith and Fulham,Violence Against the Person,Wounding/GBH,0,2011,7
E01000923,Camden,Criminal Damage,Criminal Damage To Other Building,0,2008,2
E01002289,Havering,Theft and Handling,Theft/Taking of Pedal Cycle,0,2010,2
E01003220,Lewisham,Criminal Damage,Criminal Damage To Dwelling,1,2010,2
E01002303,Havering,Drugs,Drug Trafficking,0,2011,6
E01003271,Lewisham,Criminal Damage,Other Criminal Damage,0,2016,2
E01000504,Brent,Fraud or Forgery,Counted per Victim,0,2016,2
E01033598,Westminster,Robbery,Business Property,0,2011,6
E01003045,Lambeth,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,12
E01002243,Havering,Violence Against the Person,Common Assault,2,2010,4
E01002562,Hounslow,Burglary,Burglary in a Dwelling,0,2009,4
E01004143,Sutton,Violence Against the Person,Common Assault,1,2016,11
E01001076,Croydon,Violence Against the Person,Assault with Injury,2,2012,12
E01003818,Richmond upon Thames,Theft and Handling,Motor Vehicle Interference & Tampering,0,2015,7
E01004310,Tower Hamlets,Burglary,Burglary in a Dwelling,1,2014,6
E01001539,Enfield,Theft and Handling,Other Theft,0,2012,12
E01003956,Southwark,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2013,12
E01002898,Kensington and Chelsea,Theft and Handling,Theft From Shops,1,2008,11
E01000591,Brent,Drugs,Possession Of Drugs,0,2012,2
E01001642,Greenwich,Other Notifiable Offences,Going Equipped,0,2010,3
E01002271,Havering,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,4
E01004057,Southwark,Violence Against the Person,Harassment,1,2016,9
E01000989,Croydon,Violence Against the Person,Assault with Injury,0,2009,6
E01003421,Merton,Violence Against the Person,Other violence,0,2014,7
E01000445,Bexley,Drugs,Drug Trafficking,0,2013,11
E01033699,Hackney,Theft and Handling,Handling Stolen Goods,0,2011,12
E01000846,Camden,Violence Against the Person,Wounding/GBH,0,2014,11
E01004559,Wandsworth,Criminal Damage,Other Criminal Damage,0,2014,2
E01003343,Lewisham,Theft and Handling,Other Theft,1,2010,10
E01004043,Southwark,Drugs,Possession Of Drugs,1,2016,2
E01001632,Greenwich,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,5
E01002131,Harrow,Violence Against the Person,Wounding/GBH,0,2014,6
E01001429,Enfield,Theft and Handling,Theft From Motor Vehicle,2,2015,8
E01003810,Richmond upon Thames,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,8
E01002844,Kensington and Chelsea,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,10
E01001038,Croydon,Sexual Offences,Other Sexual,0,2011,3
E01000091,Barking and Dagenham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,7
E01002419,Hillingdon,Drugs,Possession Of Drugs,2,2014,5
E01001106,Croydon,Theft and Handling,Theft From Motor Vehicle,1,2016,12
E01004196,Sutton,Theft and Handling,Other Theft,0,2011,8
E01033457,Brent,Other Notifiable Offences,Going Equipped,0,2015,1
E01001520,Enfield,Violence Against the Person,Offensive Weapon,0,2011,3
E01001189,Croydon,Drugs,Drug Trafficking,0,2016,7
E01003129,Lambeth,Violence Against the Person,Harassment,0,2012,3
E01003405,Merton,Burglary,Burglary in a Dwelling,1,2012,6
E01003925,Southwark,Theft and Handling,Theft From Motor Vehicle,1,2016,10
E01001281,Ealing,Other Notifiable Offences,Other Notifiable,0,2008,6
E01004126,Sutton,Criminal Damage,Other Criminal Damage,0,2009,2
E01002999,Kingston upon Thames,Violence Against the Person,Common Assault,1,2016,8
E01002408,Hillingdon,Violence Against the Person,Harassment,1,2016,7
E01033580,Newham,Violence Against the Person,Harassment,0,2012,5
E01000063,Barking and Dagenham,Theft and Handling,Motor Vehicle Interference & Tampering,1,2016,10
E01002451,Hillingdon,Criminal Damage,Other Criminal Damage,0,2009,6
E01004627,Wandsworth,Theft and Handling,Theft From Motor Vehicle,0,2011,11
E01003836,Richmond upon Thames,Theft and Handling,Handling Stolen Goods,0,2012,12
E01004543,Wandsworth,Violence Against the Person,Assault with Injury,0,2009,8
E01003215,Lewisham,Theft and Handling,Theft From Shops,0,2008,4
E01004116,Sutton,Theft and Handling,Motor Vehicle Interference & Tampering,0,2014,12
E01002034,Haringey,Theft and Handling,Theft From Shops,0,2011,8
E01000941,Camden,Theft and Handling,Theft From Motor Vehicle,2,2012,6
E01002707,Islington,Theft and Handling,Theft/Taking of Pedal Cycle,2,2014,10
E01000310,Barnet,Criminal Damage,Criminal Damage To Dwelling,0,2010,3
E01003471,Merton,Theft and Handling,Other Theft,4,2012,3
E01002824,Kensington and Chelsea,Violence Against the Person,Other violence,0,2009,7
E01002113,Harrow,Theft and Handling,Motor Vehicle Interference & Tampering,0,2015,4
E01002301,Havering,Violence Against the Person,Harassment,0,2010,2
E01001876,Hammersmith and Fulham,Other Notifiable Offences,Going Equipped,0,2011,4
E01001264,Ealing,Robbery,Business Property,0,2011,2
E01002129,Harrow,Criminal Damage,Criminal Damage To Dwelling,0,2009,7
E01001220,Ealing,Theft and Handling,Handling Stolen Goods,0,2010,5
