code,province,city,latitude,longitude,elementary_school_count,kindergarten_count,university_count,academy_ratio,elderly_population_ratio,elderly_alone_ratio,nursing_home_count
10000,Seoul,Seoul,37.566953,126.977977,607,830,48,1.44,15.38,5.8,22739
10010,Seoul,Gangnam-gu,37.518421,127.047222,33,38,0,4.18,13.17,4.3,3088
10020,Seoul,Gangdong-gu,37.530492,127.123837,27,32,0,1.54,14.55,5.4,1023
10030,Seoul,Gangbuk-gu,37.639938,127.025508,14,21,0,0.67,19.49,8.5,628
10040,Seoul,Gangseo-gu,37.551166,126.849506,36,56,1,1.17,14.39,5.7,1080
10050,Seoul,Gwanak-gu,37.47829,126.951502,22,33,1,0.89,15.12,4.9,909
10060,Seoul,Gwangjin-gu,37.538712,127.082366,22,33,3,1.16,13.75,4.8,723
10070,Seoul,Guro-gu,37.495632,126.88765,26,34,3,1,16.21,5.7,741
10080,Seoul,Geumcheon-gu,37.456852,126.895229,18,19,0,0.96,16.15,6.7,475
10090,Seoul,Nowon-gu,37.654259,127.056294,42,66,6,1.39,15.4,7.4,952
10100,Seoul,Dobong-gu,37.668952,127.047082,23,26,1,0.95,17.89,7.2,485
10110,Seoul,Dongdaemun-gu,37.574552,127.039721,21,31,4,1.06,17.26,6.7,832
10120,Seoul,Dongjak-gu,37.510571,126.963604,21,34,3,1.17,15.85,5.2,762
10130,Seoul,Mapo-gu,37.566283,126.901644,22,24,2,1.83,14.05,4.9,929
10140,Seoul,Seodaemun-gu,37.579428,126.936771,19,25,6,1.12,16.77,6.2,587
10150,Seoul,Seocho-gu,37.483804,127.032693,24,27,1,2.6,13.39,3.8,1465
10160,Seoul,Seongdong-gu,37.563277,127.036647,21,30,2,0.97,14.76,5.3,593
10170,Seoul,Seongbuk-gu,37.589562,127.0167,29,49,6,1.02,16.15,6,729
10180,Seoul,Songpa-gu,37.51462,127.106141,40,51,1,1.65,13.1,4.1,1527
10190,Seoul,Yangcheon-gu,37.517189,126.866618,30,43,0,2.26,13.55,5.5,816
10200,Seoul,Yeongdeungpo-gu,37.526505,126.89619,23,39,0,1.21,15.6,5.8,1001
10210,Seoul,Yongsan-gu,37.532768,126.990021,15,13,1,0.68,16.87,6.5,435
10220,Seoul,Eunpyeong-gu,37.603481,126.929173,31,44,1,1.09,17,6.5,874
10230,Seoul,Jongno-gu,37.572999,126.979189,13,17,3,1.71,18.27,6.8,668
10240,Seoul,Jung-gu,37.563988,126.99753,12,14,2,0.94,18.42,7.4,728
10250,Seoul,Jungnang-gu,37.606832,127.092656,23,31,1,0.7,16.65,6.9,689
11000,Busan,Busan,35.179884,129.074796,304,408,22,1.4,18.41,8.6,6752
11010,Busan,Gangseo-gu,35.212424,128.98068,17,21,0,1.43,11.84,5,147
11020,Busan,Geumjeong-gu,35.243053,129.092163,22,28,4,1.64,19.8,8.4,466
11030,Busan,Gijang-gun,35.244881,129.222253,21,35,0,1.31,15.45,7.4,229
11040,Busan,Nam-gu,35.136789,129.08414,21,27,4,1.24,19.13,7.9,475
11050,Busan,Dong-gu,35.129432,129.04554,7,9,0,0.83,25.42,13.8,239
11060,Busan,Dongnae-gu,35.20506,129.083673,22,31,0,1.98,17.53,7.7,608
11070,Busan,Busanjin-gu,35.163332,129.053058,32,43,3,1.62,19.01,8.7,986
11080,Busan,Buk-gu,35.197483,128.990224,27,37,1,1.35,16.04,8.4,465
11090,Busan,Sasang-gu,35.152777,128.991142,21,31,3,0.78,17,8.1,317
